,Id,County
0,7000000US1300100001B,Appling
1,7000000US1300100005A,Appling
2,7000000US1300100004D,Appling
3,7000000US1300100005C,Appling
4,7000000US1300100003C,Appling
5,7000000US1300100004A,Appling
6,7000000US1300100004B,Appling
7,7000000US13001000002,Appling
8,7000000US1300100005B,Appling
9,7000000US1300100003B,Appling
10,7000000US1300100001C,Appling
11,7000000US1300100003A,Appling
12,7000000US130010003A1,Appling
13,7000000US1300100004C,Appling
14,7000000US13003000001,Atkinson
15,7000000US13003000002,Atkinson
16,7000000US13003000003,Atkinson
17,7000000US13003000004,Atkinson
18,7000000US130050DOUGL,Bacon
19,7000000US130050NEW L,Bacon
20,7000000US130050TAYLO,Bacon
21,7000000US1300500WARE,Bacon
22,7000000US130050WARNO,Bacon
23,7000000US1300700000A,Baker
24,7000000US1300700000N,Baker
25,7000000US1300700000E,Baker
26,7000000US1300700000H,Baker
27,7000000US1300700000M,Baker
28,7000000US1300900CTY4,Baldwin
29,7000000US1300900CTY2,Baldwin
30,7000000US13009000322,Baldwin
31,7000000US13009000318,Baldwin
32,7000000US1300900CTY5,Baldwin
33,7000000US1300900MONT,Baldwin
34,7000000US13009000319,Baldwin
35,7000000US1300900CTY3,Baldwin
36,7000000US1300900321E,Baldwin
37,7000000US1300900321W,Baldwin
38,7000000US1300900MERI,Baldwin
39,7000000US13009001714,Baldwin
40,7000000US1300900CTY1,Baldwin
41,7000000US1300900CTY6,Baldwin
42,7000000US13011000002,Banks
43,7000000US13011000010,Banks
44,7000000US13011000003,Banks
45,7000000US13011000001,Banks
46,7000000US13011000006,Banks
47,7000000US13011000007,Banks
48,7000000US13011000012,Banks
49,7000000US13011000008,Banks
50,7000000US13011000011,Banks
51,7000000US13011000009,Banks
52,7000000US13011000005,Banks
53,7000000US13011000013,Banks
54,7000000US13011000004,Banks
55,7000000US13013000012,Barrow
56,7000000US13013000009,Barrow
57,7000000US13013000013,Barrow
58,7000000US13013000014,Barrow
59,7000000US13013000015,Barrow
60,7000000US13013000016,Barrow
61,7000000US13013000011,Barrow
62,7000000US13013000001,Barrow
63,7000000US13013000003,Barrow
