,Id,County
168,7000000US13039000011,Camden
169,7000000US13039000013,Camden
170,7000000US13039000008,Camden
171,7000000US13039000007,Camden
172,7000000US13039000005,Camden
173,7000000US13039000004,Camden
174,7000000US13039000006,Camden
175,7000000US13039000002,Camden
176,7000000US13039000009,Camden
177,7000000US13039000010,Camden
178,7000000US13039000012,Camden
179,7000000US13039000001,Camden
180,7000000US13039000014,Camden
181,7000000US13039000003,Camden
182,7000000US13043001733,Candler
183,7000000US13043001734,Candler
184,7000000US13043001736,Candler
185,7000000US1304300CAND,Candler
186,7000000US13045000501,Carroll
187,7000000US130450714A3,Carroll
188,7000000US13045001111,Carroll
189,7000000US13045001152,Carroll
190,7000000US13045001483,Carroll
191,7000000US130450714BN,Carroll
192,7000000US13045001540,Carroll
193,7000000US13045000641,Carroll
194,7000000US13045001006,Carroll
195,7000000US130450714A2,Carroll
196,7000000US13045001542,Carroll
197,7000000US13045001122,Carroll
198,7000000US13045001496,Carroll
199,7000000US13045001240,Carroll
200,7000000US130450714A5,Carroll
201,7000000US13045000715,Carroll
202,7000000US130450714BW,Carroll
203,7000000US13045000642,Carroll
204,7000000US13045000713,Carroll
205,7000000US13045001371,Carroll
206,7000000US130450714A6,Carroll
207,7000000US13045000649,Carroll
208,7000000US13045000650,Carroll
209,7000000US13045001533,Carroll
210,7000000US130450714A4,Carroll
211,7000000US13045000640,Carroll
212,7000000US130450714A1,Carroll
213,7000000US13045000682,Carroll
214,7000000US1304700BLCK,Catoosa
215,7000000US1304700BOYN,Catoosa
216,7000000US1304700CAKT,Catoosa
217,7000000US1304700CHAM,Catoosa
218,7000000US1304700FT O,Catoosa
219,7000000US1304700GRAY,Catoosa
220,7000000US1304700LAKE,Catoosa
221,7000000US1304700POPS,Catoosa
222,7000000US1304700RING,Catoosa
223,7000000US1304700WEST,Catoosa
224,7000000US1304700WOOD,Catoosa
225,7000000US1304900004A,Charlton
226,7000000US1304900003B,Charlton
227,7000000US13049000002,Charlton
228,7000000US1304900005F,Charlton
229,7000000US1304900004H,Charlton
230,7000000US1304900005R,Charlton
231,7000000US1304900003S,Charlton
232,7000000US1304900005W,Charlton
233,7000000US1305105-01C,Chatham
234,7000000US1305108-12C,Chatham
235,7000000US1305103-10C,Chatham
236,7000000US1305107-08C,Chatham
237,7000000US1305104-10C,Chatham
238,7000000US1305108-11C,Chatham
239,7000000US1305105-03C,Chatham
240,7000000US1305108-10C,Chatham
241,7000000US1305101-06C,Chatham
242,7000000US1305102-07C,Chatham
243,7000000US1305106-08C,Chatham
244,7000000US1305107-11C,Chatham
245,7000000US1305108-01C,Chatham
246,7000000US1305107-14C,Chatham
247,7000000US1305106-11C,Chatham
248,7000000US1305106-03C,Chatham
249,7000000US1305102-06C,Chatham
250,7000000US1305103-15C,Chatham
251,7000000US1305105-07C,Chatham
252,7000000US1305102-04C,Chatham
253,7000000US1305101-16C,Chatham
254,7000000US1305103-04C,Chatham
255,7000000US1305108-15C,Chatham
256,7000000US1305107-06C,Chatham
257,7000000US1305104-06C,Chatham
258,7000000US1305101-01C,Chatham
259,7000000US1305107-01C,Chatham
260,7000000US1305106-10C,Chatham
261,7000000US1305101-08C,Chatham
262,7000000US1305108-02C,Chatham
263,7000000US1305102-05C,Chatham
264,7000000US1305101-09C,Chatham
265,7000000US1305101-17C,Chatham
266,7000000US1305104-02C,Chatham
267,7000000US1305101-12C,Chatham
268,7000000US1305101-05C,Chatham
269,7000000US1305103-08C,Chatham
270,7000000US1305105-10C,Chatham
271,7000000US1305107-04C,Chatham
272,7000000US1305105-11C,Chatham
273,7000000US1305105-05C,Chatham
274,7000000US1305104-04C,Chatham
275,7000000US1305108-16C,Chatham
276,7000000US1305108-09C,Chatham
277,7000000US1305103-13C,Chatham
278,7000000US1305103-05C,Chatham
279,7000000US1305103-14C,Chatham
280,7000000US1305103-01C,Chatham
281,7000000US1305107-03C,Chatham
282,7000000US1305107-12C,Chatham
283,7000000US1305107-16C,Chatham
284,7000000US1305107-10C,Chatham
285,7000000US1305108-08C,Chatham
286,7000000US1305107-15C,Chatham
287,7000000US1305102-02C,Chatham
288,7000000US1305107-07C,Chatham
289,7000000US1305101-10C,Chatham
290,7000000US1305108-13C,Chatham
291,7000000US1305103-03C,Chatham
292,7000000US1305107-09C,Chatham
293,7000000US1305105-08C,Chatham
294,7000000US1305105-06C,Chatham
295,7000000US1305105-02C,Chatham
296,7000000US1305108-03C,Chatham
297,7000000US1305104-13C,Chatham
298,7000000US1305104-14C,Chatham
299,7000000US1305104-15C,Chatham
300,7000000US1305103-11C,Chatham
301,7000000US1305107-13C,Chatham
302,7000000US1305101-14C,Chatham
303,7000000US1305104-12C,Chatham
304,7000000US1305104-05C,Chatham
305,7000000US1305102-11C,Chatham
306,7000000US1305103-02C,Chatham
307,7000000US1305103-09C,Chatham
308,7000000US1305106-06C,Chatham
309,7000000US1305102-09C,Chatham
310,7000000US1305101-13C,Chatham
311,7000000US1305103-12C,Chatham
312,7000000US1305108-06C,Chatham
313,7000000US1305106-09C,Chatham
314,7000000US1305104-11C,Chatham
315,7000000US1305102-03C,Chatham
316,7000000US1305108-05C,Chatham
317,7000000US1305106-01C,Chatham
318,7000000US1305102-12C,Chatham
319,7000000US1305104-08C,Chatham
320,7000000US1305104-07C,Chatham
321,7000000US1305106-02C,Chatham
322,7000000US1305106-05C,Chatham
323,7000000US1305107-05C,Chatham
324,7000000US1305108-07C,Chatham
325,7000000US13053000001,Chattahoochee
326,7000000US13055000925,Chattooga
327,7000000US13055001382,Chattooga
328,7000000US13055000940,Chattooga
329,7000000US13055000968,Chattooga
330,7000000US130550C-968,Chattooga
331,7000000US13055001083,Chattooga
332,7000000US13055001216,Chattooga
333,7000000US13055001484,Chattooga
334,7000000US13055000961,Chattooga
335,7000000US13055000962,Chattooga
336,7000000US13055000870,Chattooga
337,7000000US13055000927,Chattooga
338,7000000US130550P-870,Chattooga
339,7000000US13057000044,Cherokee
340,7000000US13057000002,Cherokee
341,7000000US13057000004,Cherokee
342,7000000US13057000005,Cherokee
343,7000000US13057000018,Cherokee
344,7000000US13057000020,Cherokee
345,7000000US13057000031,Cherokee
346,7000000US13057000011,Cherokee
347,7000000US13057000039,Cherokee
348,7000000US13057000006,Cherokee
349,7000000US13057000007,Cherokee
350,7000000US13057000041,Cherokee
351,7000000US13057000013,Cherokee
352,7000000US13057000010,Cherokee
353,7000000US13057000032,Cherokee
354,7000000US13057000033,Cherokee
355,7000000US13057000008,Cherokee
356,7000000US13057000019,Cherokee
357,7000000US13057000003,Cherokee
358,7000000US13057000021,Cherokee
359,7000000US13057000042,Cherokee
360,7000000US13057000022,Cherokee
361,7000000US13057000009,Cherokee
362,7000000US13057000034,Cherokee
363,7000000US13057000037,Cherokee
364,7000000US13057000024,Cherokee
365,7000000US13057000026,Cherokee
366,7000000US13057000027,Cherokee
367,7000000US13057000001,Cherokee
368,7000000US13057000028,Cherokee
369,7000000US13057000040,Cherokee
370,7000000US13057000023,Cherokee
371,7000000US13057000030,Cherokee
372,7000000US13057000036,Cherokee
373,7000000US13057000014,Cherokee
374,7000000US13057000035,Cherokee
375,7000000US13057000015,Cherokee
376,7000000US13057000043,Cherokee
377,7000000US13057000038,Cherokee
378,7000000US13057000029,Cherokee
379,7000000US13057000012,Cherokee
380,7000000US13057000016,Cherokee
381,7000000US1305900005D,Clarke
382,7000000US1305900007B,Clarke
383,7000000US1305900004A,Clarke
384,7000000US1305900001B,Clarke
385,7000000US1305900001C,Clarke
386,7000000US1305900008B,Clarke
387,7000000US1305900005C,Clarke
388,7000000US1305900003A,Clarke
389,7000000US1305900006A,Clarke
390,7000000US1305900007C,Clarke
391,7000000US1305900006D,Clarke
392,7000000US1305900008C,Clarke
393,7000000US1305900008A,Clarke
394,7000000US1305900006B,Clarke
395,7000000US1305900002B,Clarke
396,7000000US1305900002A,Clarke
397,7000000US1305900004B,Clarke
398,7000000US1305900005A,Clarke
399,7000000US1305900003B,Clarke
400,7000000US1305900006C,Clarke
401,7000000US1305900007A,Clarke
402,7000000US1305900001D,Clarke
403,7000000US1305900005B,Clarke
404,7000000US1305900001A,Clarke
405,7000000US13061000001,Clay
406,7000000US13061000002,Clay
407,7000000US13061000003,Clay
408,7000000US13061000004,Clay
409,7000000US13061000005,Clay
410,7000000US13063000MO4,Clayton
411,7000000US1306300JB05,Clayton
412,7000000US1306300RD04,Clayton
413,7000000US13063000MO5,Clayton
414,7000000US13063000MO1,Clayton
415,7000000US1306300MO11,Clayton
416,7000000US1306300JB11,Clayton
417,7000000US13063000FP4,Clayton
418,7000000US1306300JB13,Clayton
419,7000000US1306300JB02,Clayton
420,7000000US1306300OAK4,Clayton
421,7000000US13063000MO6,Clayton
422,7000000US1306300RD03,Clayton
423,7000000US1306300JB12,Clayton
424,7000000US13063000LC1,Clayton
425,7000000US13063000EW2,Clayton
426,7000000US13063000LJ6,Clayton
427,7000000US13063000FP1,Clayton
428,7000000US13063000FP3,Clayton
429,7000000US1306300RD11,Clayton
430,7000000US13063000LJ5,Clayton
431,7000000US13063000FP6,Clayton
432,7000000US13063000FP2,Clayton
433,7000000US1306300JB18,Clayton
434,7000000US13063000LJ4,Clayton
435,7000000US1306300JB16,Clayton
436,7000000US1306300JB04,Clayton
437,7000000US1306300OAK5,Clayton
438,7000000US1306300RD02,Clayton
439,7000000US1306300JB15,Clayton
440,7000000US1306300JB03,Clayton
441,7000000US13063000FP5,Clayton
442,7000000US13063000LJ7,Clayton
443,7000000US13063000LJ3,Clayton
444,7000000US13063000LJ2,Clayton
445,7000000US1306300JB06,Clayton
