"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N"
"0500000US13121","Fulton County, Georgia","1066710","995802","418700","453834","3255","80949","452","38612","70908","65723","10600","4849","7715","214","31871","3001","1592","229","4468","108","8","476","156","390","46","4480","1524","501","53","828","188","23","598","130","301","9","59","15","116","45","76","11","0","0","0","3","633","167","29","325","17","49","0","9","21","0","3","3","5","0","5","0","72","32","32","1","0","0","7","0","0"
"0500000US13123","Gilmer County, Georgia","31353","29566","26962","146","260","143","5","2050","1787","1731","79","685","73","1","779","6","0","2","25","2","0","78","0","1","0","45","6","2","1","9","6","0","11","0","0","1","2","0","6","0","1","0","0","0","0","0","11","3","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13125","Glascock County, Georgia","2884","2801","2590","196","0","7","4","4","83","58","9","29","0","1","10","1","2","0","2","0","0","4","0","0","0","17","3","0","2","2","4","0","1","0","1","0","0","0","1","1","0","0","0","0","0","2","5","0","1","0","0","3","0","0","0","0","0","1","0","0","0","0","3","0","2","0","0","1","0","0","0"
"0500000US13127","Glynn County, Georgia","84499","79673","54229","20676","372","1189","121","3086","4826","4538","867","970","322","22","1913","126","48","18","181","0","0","31","12","15","13","254","69","32","0","35","10","1","68","11","3","1","0","4","2","7","1","7","0","0","0","3","32","9","0","0","5","6","3","8","0","0","1","0","0","0","0","0","2","0","2","0","0","0","0","0","0"
"0500000US13129","Gordon County, Georgia","57544","52960","45135","2147","358","722","21","4577","4584","4378","514","1173","124","14","2357","28","28","6","66","3","0","55","5","3","2","170","29","7","0","57","13","0","43","7","3","1","0","0","5","0","0","0","0","0","0","5","36","2","4","23","0","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13131","Grady County, Georgia","26236","24887","15065","7336","256","120","6","2104","1349","1298","200","319","32","1","579","22","8","3","86","3","0","43","0","2","0","37","14","9","0","2","0","0","8","0","3","0","0","0","1","0","0","0","0","0","0","0","12","0","3","0","0","3","4","1","0","0","0","0","0","0","1","0","2","1","0","0","0","1","0","0","0"
"0500000US13133","Greene County, Georgia","18915","18026","11296","5810","37","174","4","705","889","858","156","136","42","10","466","20","0","1","19","0","0","6","0","0","2","22","6","3","0","3","3","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","1","0","0","0","0","0","0","6","0","0","1","0","1","0","1","0","0","0","0","0","0"
"0500000US13135","Gwinnett County, Georgia","957062","854481","339822","262709","7918","127152","604","116276","102581","96524","10413","5946","6514","214","60089","1778","1933","167","6528","211","14","1611","220","735","151","5408","1383","632","38","1196","196","13","1130","149","310","36","56","6","135","20","79","11","0","0","0","18","625","150","9","367","20","24","3","21","21","2","2","2","3","0","1","0","18","2","10","5","0","0","1","6","6"
"0500000US13137","Habersham County, Georgia","46031","42313","36249","1749","236","999","36","3044","3718","3573","295","813","149","17","2220","19","1","0","24","0","0","19","0","8","8","118","20","9","3","14","0","2","52","5","0","0","2","1","2","4","0","0","0","4","0","0","27","9","0","12","0","0","0","4","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0500000US13139","Hall County, Georgia","203136","180847","130744","14660","1739","4254","107","29343","22289","21606","1511","2663","792","54","15459","89","43","6","343","14","0","575","15","41","1","624","112","28","2","135","38","1","220","9","49","5","0","1","10","0","3","8","0","0","0","3","57","21","1","31","0","0","0","0","4","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0"
