County,Polling Place,First Check-In,Last Check-In, First Check-In,Last Check In,Active Registered Voters,Total Election Day Check-Ins,Total EV,Voters/Hour
BARTOW,ALLATOONA RESOURCE CENTER,07:06:00,18:58:00,1899-12-30 07:06:00,1899-12-30 18:58:00,4514,850,466,71.63
BARTOW,ATCO BAPTIST CHURCH,07:03:00,18:59:00,1899-12-30 07:03:00,1899-12-30 18:59:00,3883,527,814,44.16
BARTOW,BEAVERS DRIVE SENIOR CENTER,07:07:00,19:14:00,1899-12-30 07:07:00,1899-12-30 19:14:00,10724,765,1931,63.14
BARTOW,CARTERSVILLE CIVIC CENTER,07:10:00,19:07:00,1899-12-30 07:10:00,1899-12-30 19:07:00,7768,998,1743,83.51
BARTOW,CENTER COMMUNITY CENTER,07:04:00,19:00:00,1899-12-30 07:04:00,1899-12-30 19:00:00,3838,1005,700,84.22
BARTOW,CHAMBER OF COMMERCE,07:14:00,19:04:00,1899-12-30 07:14:00,1899-12-30 19:04:00,6677,533,1228,45.04
BARTOW,CREEKSIDE FELLOWSHIP CHURCH,07:05:00,18:47:00,1899-12-30 07:05:00,1899-12-30 18:47:00,1759,429,322,36.67
BARTOW,EMERSON CITY HALL,07:01:00,19:02:00,1899-12-30 07:01:00,1899-12-30 19:02:00,3025,789,467,65.66
BARTOW,EUHARLEE CITY HALL,07:05:00,19:41:00,1899-12-30 07:05:00,1899-12-30 19:41:00,5061,257,862,20.4
BARTOW,FOLSOM FIRE DEPT,07:12:00,18:52:00,1899-12-30 07:12:00,1899-12-30 18:52:00,1369,367,211,31.46
BARTOW,KINGSTON CITY HALL,07:03:00,19:05:00,1899-12-30 07:03:00,1899-12-30 19:05:00,2571,454,443,37.73
BARTOW,MANNING MILL PARK FACILITY,07:04:00,19:00:00,1899-12-30 07:04:00,1899-12-30 19:00:00,6584,339,1021,28.41
BARTOW,PINE LOG FIRE STATION 8,07:37:00,18:59:00,1899-12-30 07:37:00,1899-12-30 18:59:00,2016,463,363,40.73
