County,Polling Place,First Check-In,Last Check-In, First Check-In,Last Check In,Active Registered Voters,Total Election Day Check-Ins,Total EV,Voters/Hour
COLQUITT,AUTREYVILLE VOLUNTEER FIRE DPT,06:58:00,18:59:00,1899-12-30 06:58:00,1899-12-30 18:59:00,1481,184,253,15.31
COLQUITT,BERLIN CITY HALL,07:16:00,18:53:00,1899-12-30 07:16:00,1899-12-30 18:53:00,865,164,144,14.12
COLQUITT,CENTER HILL COURTHOUSE,07:21:00,18:58:00,1899-12-30 07:21:00,1899-12-30 18:58:00,1152,188,248,16.18
COLQUITT,CHILD DEVELOPMENT CENTER,07:08:00,18:56:00,1899-12-30 07:08:00,1899-12-30 18:56:00,1617,214,323,18.14
COLQUITT,CROSLAND BAPTIST CHURCH,07:01:00,18:56:00,1899-12-30 07:01:00,1899-12-30 18:56:00,270,47,40,3.94
COLQUITT,DOERUN COMMUNITY CENTER,07:06:00,18:59:00,1899-12-30 07:06:00,1899-12-30 18:59:00,630,144,83,12.12
COLQUITT,ELLENTON CITY HALL,07:00:00,18:57:00,1899-12-30 07:00:00,1899-12-30 18:57:00,946,152,132,12.72
COLQUITT,FUNSTON CITY HALL,07:02:00,18:52:00,1899-12-30 07:02:00,1899-12-30 18:52:00,1027,192,171,16.23
COLQUITT,HAMILTON VOLUNTEER FIRE DEPT,07:05:00,18:56:00,1899-12-30 07:05:00,1899-12-30 18:56:00,758,120,128,10.13
COLQUITT,HARTSFIELD PUBLIC LIBRARY,07:27:00,18:39:00,1899-12-30 07:27:00,1899-12-30 18:39:00,405,82,69,7.32
COLQUITT,LEE COURTHOUSE,07:01:00,18:59:00,1899-12-30 07:01:00,1899-12-30 18:59:00,1045,163,166,13.62
COLQUITT,MONK COURTHOUSE (IN NEW ELM),07:02:00,18:53:00,1899-12-30 07:02:00,1899-12-30 18:53:00,1523,243,246,20.51
COLQUITT,MURPHY COURTHOUSE,07:09:00,18:50:00,1899-12-30 07:09:00,1899-12-30 18:50:00,955,181,219,15.49
COLQUITT,NORMAN PARK MUNICIPAL BUILDING,07:02:00,18:49:00,1899-12-30 07:02:00,1899-12-30 18:49:00,2488,250,407,21.22
COLQUITT,SCHLEY BAPTIST CHURCH,07:19:00,18:37:00,1899-12-30 07:19:00,1899-12-30 18:37:00,427,57,77,5.04
COLQUITT,THIGPEN COURTHOUSE,07:32:00,18:28:00,1899-12-30 07:32:00,1899-12-30 18:28:00,242,36,34,3.29
COLQUITT,TOMMY MEREDITH GYM,07:09:00,19:02:00,1899-12-30 07:09:00,1899-12-30 19:02:00,4773,436,959,36.69
COLQUITT,TYTY COMMUNITY BUILDING,07:21:00,18:57:00,1899-12-30 07:21:00,1899-12-30 18:57:00,515,96,55,8.28
COLUMBIA,ABILENE BAPTIST CHURCH,07:12:00,18:52:00,1899-12-30 07:12:00,1899-12-30 18:52:00,2025,221,397,18.94
COLUMBIA,AUGUSTA CHRISTIAN SCHOOL,07:04:00,18:58:00,1899-12-30 07:04:00,1899-12-30 18:58:00,2162,262,398,22.02
COLUMBIA,BELAIR BAPTIST CHURCH,07:02:00,18:45:00,1899-12-30 07:02:00,1899-12-30 18:45:00,2335,310,523,26.46
COLUMBIA,BESSIE THOMAS COMMUNITY CENTER,08:04:00,18:53:00,1899-12-30 08:04:00,1899-12-30 18:53:00,745,112,129,10.35
COLUMBIA,BLANCHARD PARK,07:07:00,18:47:00,1899-12-30 07:07:00,1899-12-30 18:47:00,1967,233,332,19.97
COLUMBIA,BLUERIDGE ELEMENTARY SCHOOL,07:13:00,19:06:00,1899-12-30 07:13:00,1899-12-30 19:06:00,2203,230,392,19.35
COLUMBIA,"CHRIST CHURCH, PRESBYTERIAN",07:05:00,18:57:00,1899-12-30 07:05:00,1899-12-30 18:57:00,2011,235,387,19.8
COLUMBIA,CHRIST SANCTIFIED CHURCH,07:18:00,18:59:00,1899-12-30 07:18:00,1899-12-30 18:59:00,2494,210,520,17.97
COLUMBIA,CHRIST THE KING CHURCH,07:02:00,18:58:00,1899-12-30 07:02:00,1899-12-30 18:58:00,2067,267,571,22.37
COLUMBIA,CHURCH OF OUR SAVIOR,07:04:00,18:59:00,1899-12-30 07:04:00,1899-12-30 18:59:00,2294,268,396,22.49
COLUMBIA,COL CTY BOARD OF EDUCATION,07:08:00,18:54:00,1899-12-30 07:08:00,1899-12-30 18:54:00,2110,226,503,19.21
COLUMBIA,COLUMBIA COUNTY MAIN LIBRARY,07:02:00,18:43:00,1899-12-30 07:02:00,1899-12-30 18:43:00,2072,193,460,16.52
COLUMBIA,DAMASCUS BAPTIST CHURCH,07:11:00,19:00:00,1899-12-30 07:11:00,1899-12-30 19:00:00,998,169,192,14.3
COLUMBIA,EUBANK/BLANCHARD COMMUNITY CTR,07:25:00,18:50:00,1899-12-30 07:25:00,1899-12-30 18:50:00,1522,267,259,23.39
COLUMBIA,GENESIS CHURCH,07:07:00,18:58:00,1899-12-30 07:07:00,1899-12-30 18:58:00,1769,213,422,17.97
COLUMBIA,GOSPEL WATER BRANCH FELLOWSHIP,07:04:00,18:59:00,1899-12-30 07:04:00,1899-12-30 18:59:00,1963,239,427,20.06
COLUMBIA,GRACE BAPTIST CHURCH,07:06:00,19:01:00,1899-12-30 07:06:00,1899-12-30 19:01:00,3347,438,692,40.12
COLUMBIA,GREATER AUGUSTA APOSTOLIC CH,08:04:00,18:59:00,1899-12-30 08:04:00,1899-12-30 18:59:00,1631,235,345,19.67
COLUMBIA,GREENBRIER HIGH SCHOOL,07:02:00,18:59:00,1899-12-30 07:02:00,1899-12-30 18:59:00,3165,330,593,27.97
COLUMBIA,GROVE FIRST BAPTIST CHURCH,07:05:00,18:53:00,1899-12-30 07:05:00,1899-12-30 18:53:00,2694,392,389,33.74
COLUMBIA,GROVETOWN DEPT. OF PUBLIC SAFETY STATION #2,07:16:00,18:53:00,1899-12-30 07:16:00,1899-12-30 18:53:00,3327,321,419,26.75
COLUMBIA,GROVETOWN LIBERTY PARK,07:02:00,19:02:00,1899-12-30 07:02:00,1899-12-30 19:02:00,3340,383,434,32.01
COLUMBIA,GROVETOWN METH CHURCH,07:03:00,19:01:00,1899-12-30 07:03:00,1899-12-30 19:01:00,2593,344,363,28.67
COLUMBIA,HARLEM BRANCH LIBRARY,07:01:00,19:01:00,1899-12-30 07:01:00,1899-12-30 19:01:00,2452,264,432,22.82
COLUMBIA,HARLEM SENIOR CENTER,07:19:00,18:53:00,1899-12-30 07:19:00,1899-12-30 18:53:00,1663,135,280,11.67
COLUMBIA,JOURNEY COMMUNITY CHURCH,07:24:00,18:58:00,1899-12-30 07:24:00,1899-12-30 18:58:00,1248,377,376,32.18
COLUMBIA,KIOKEE BAPTIST CHURCH,07:13:00,18:56:00,1899-12-30 07:13:00,1899-12-30 18:56:00,2458,180,456,15.1
COLUMBIA,LAKESIDE MIDDLE SCHOOL,07:07:00,19:02:00,1899-12-30 07:07:00,1899-12-30 19:02:00,1885,389,317,38.45
COLUMBIA,LEWIS METHODIST CHURCH,08:44:00,18:51:00,1899-12-30 08:44:00,1899-12-30 18:51:00,3450,337,601,28.28
COLUMBIA,MARTINEZ BAPTIST CHURCH,07:01:00,18:56:00,1899-12-30 07:01:00,1899-12-30 18:56:00,1921,219,274,18.56
COLUMBIA,MARTINEZ COLUMBIA FIRE HDQTR.,07:03:00,18:51:00,1899-12-30 07:03:00,1899-12-30 18:51:00,1308,138,200,11.66
COLUMBIA,MARVIN UNITED METHODIST CHURCH,07:02:00,18:52:00,1899-12-30 07:02:00,1899-12-30 18:52:00,1955,268,337,22.4
COLUMBIA,NEW LIFE CHURCH,07:01:00,18:59:00,1899-12-30 07:01:00,1899-12-30 18:59:00,4108,507,612,42.72
COLUMBIA,PARKWAY BAPTIST CHURCH,07:04:00,18:56:00,1899-12-30 07:04:00,1899-12-30 18:56:00,4323,521,861,44.28
COLUMBIA,PATRIOTS PARK,07:08:00,18:54:00,1899-12-30 07:08:00,1899-12-30 18:54:00,3851,445,732,37.03
COLUMBIA,PHILADELPHIA METHODIST CHURCH,07:02:00,19:03:00,1899-12-30 07:02:00,1899-12-30 19:03:00,2169,216,256,18.25
COLUMBIA,RIVERVIEW CHURCH,07:07:00,18:57:00,1899-12-30 07:07:00,1899-12-30 18:57:00,1261,176,322,14.49
COLUMBIA,SAVANNAH RAPIDS PAVILION,06:41:00,18:50:00,1899-12-30 06:41:00,1899-12-30 18:50:00,1513,131,437,11.2
COLUMBIA,SECOND MOUNT MORIAH BAPTIST CHURCH,07:09:00,18:51:00,1899-12-30 07:09:00,1899-12-30 18:51:00,959,135,182,11.67
COLUMBIA,SECOND MT. CARMEL BAPTIST CHURCH,07:22:00,18:56:00,1899-12-30 07:22:00,1899-12-30 18:56:00,716,318,125,26.84
COLUMBIA,STEVENS CREEK COMMUNITY CHURCH,07:08:00,18:59:00,1899-12-30 07:08:00,1899-12-30 18:59:00,2658,215,679,18.04
COLUMBIA,TRINITY BAPTIST CHURCH,07:01:00,18:56:00,1899-12-30 07:01:00,1899-12-30 18:56:00,2767,357,551,30.6
COLUMBIA,WESLEY METHODIST CHURCH,07:06:00,18:46:00,1899-12-30 07:06:00,1899-12-30 18:46:00,2376,249,539,21.47
COLUMBIA,WEST ACRES BAPTIST CHURCH,07:15:00,18:51:00,1899-12-30 07:15:00,1899-12-30 18:51:00,2420,289,563,24.63
COLUMBIA,WESTSIDE BAPTIST CHURCH,07:07:00,18:51:00,1899-12-30 07:07:00,1899-12-30 18:51:00,1522,195,421,16.43
COLUMBIA,WOODLAWN BAPTIST CHURCH,07:01:00,18:53:00,1899-12-30 07:01:00,1899-12-30 18:53:00,1240,178,294,
COOK,CECIL CITY HALL,07:08:00,18:57:00,1899-12-30 07:08:00,1899-12-30 18:57:00,1842,159,292,13.46
COOK,DELLE BEAMGUARD COMM CTR RM DB,07:09:00,18:50:00,1899-12-30 07:09:00,1899-12-30 18:50:00,2383,300,491,25.68
COOK,DELLE BEAMGUARD COMM CTR RM M,07:36:00,18:57:00,1899-12-30 07:36:00,1899-12-30 18:57:00,902,98,175,8.63
COOK,DELLE BEAMGUARD COMM CTR RM RB,07:02:00,18:41:00,1899-12-30 07:02:00,1899-12-30 18:41:00,1240,140,298,12.02
COOK,JIM BATTLE RECREATION CENTER,07:23:00,18:57:00,1899-12-30 07:23:00,1899-12-30 18:57:00,533,67,89,5.79
COOK,LENOX CITY HALL,07:02:00,18:59:00,1899-12-30 07:02:00,1899-12-30 18:59:00,1229,187,211,15.65
COOK,NEW LIFE BAPTIST CHURCH,07:12:00,18:56:00,1899-12-30 07:12:00,1899-12-30 18:56:00,1193,191,265,16.28
COOK,SPARKS CITY HALL,07:02:00,18:52:00,1899-12-30 07:02:00,1899-12-30 18:52:00,1046,122,123,10.31
COWETA,ASA M POWELL EXPO CENTER,07:02:00,18:56:00,1899-12-30 07:02:00,1899-12-30 18:56:00,1966,215,372,18.07
COWETA,CANNONGATE SCHOOL,07:02:00,19:00:00,1899-12-30 07:02:00,1899-12-30 19:00:00,3542,507,796,42.37
COWETA,CENTRAL EDUCATION CENTER,07:02:00,19:03:00,1899-12-30 07:02:00,1899-12-30 19:03:00,4221,357,552,29.71
COWETA,CLAY-WOOD COMMUNITY CENTER,07:06:00,18:59:00,1899-12-30 07:06:00,1899-12-30 18:59:00,826,132,173,11.11
COWETA,COWETA CENTRAL LIBRARY,07:31:00,18:56:00,1899-12-30 07:31:00,1899-12-30 18:56:00,1599,206,394,18.04
COWETA,COWETA COUNTY FAIRGROUND (NEW),07:04:00,18:59:00,1899-12-30 07:04:00,1899-12-30 18:59:00,1997,260,378,21.82
COWETA,COWETA COUNTY FIRE STATION #14,07:10:00,19:20:00,1899-12-30 07:10:00,1899-12-30 19:20:00,5072,490,1143,40.83
COWETA,CROSSROADS 154 CAMPUS,07:04:00,19:04:00,1899-12-30 07:04:00,1899-12-30 19:04:00,4482,560,947,46.67
COWETA,FIRE STATION #7,07:31:00,19:38:00,1899-12-30 07:31:00,1899-12-30 19:38:00,4173,572,826,47.93
COWETA,GRANTVILLE LIBRARY,07:05:00,19:01:00,1899-12-30 07:05:00,1899-12-30 19:01:00,2533,307,364,25.73
COWETA,HARALSON CITY HALL,07:26:00,19:00:00,1899-12-30 07:26:00,1899-12-30 19:00:00,2238,295,343,25.5
COWETA,HUNTER COMPLEX RECREATION DEPT,07:16:00,19:00:00,1899-12-30 07:16:00,1899-12-30 19:00:00,2400,345,435,29.4
COWETA,MADRAS COMMUNITY CENTER GYM,07:08:00,19:05:00,1899-12-30 07:08:00,1899-12-30 19:05:00,4306,565,887,47.28
COWETA,MILLS CHAPEL,07:11:00,19:11:00,1899-12-30 07:11:00,1899-12-30 19:11:00,2841,312,552,26
COWETA,MORELAND MILL,07:05:00,18:59:00,1899-12-30 07:05:00,1899-12-30 18:59:00,2692,382,601,32.1
COWETA,NEWNAN CITY HALL,07:05:00,18:57:00,1899-12-30 07:05:00,1899-12-30 18:57:00,3396,307,629,25.16
COWETA,NORTHSIDE SCHOOL,07:02:00,19:14:00,1899-12-30 07:02:00,1899-12-30 19:14:00,2224,275,483,22.54
COWETA,PANTHER CREEK COMMUNITY CENTER,07:07:00,18:54:00,1899-12-30 07:07:00,1899-12-30 18:54:00,2979,365,534,30.98
COWETA,RECREATION CENTER,07:04:00,19:10:00,1899-12-30 07:04:00,1899-12-30 19:10:00,4368,540,979,42.13
COWETA,SENOIA CITIZEN CENTER,07:05:00,19:54:00,1899-12-30 07:05:00,1899-12-30 19:54:00,5648,567,1127,44.24
COWETA,THE NEWNAN CENTRE,07:02:00,19:07:00,1899-12-30 07:02:00,1899-12-30 19:07:00,19850,1894,4007,156.74
COWETA,THOMAS CROSSROADS SCHOOL,07:06:00,18:57:00,1899-12-30 07:06:00,1899-12-30 18:57:00,4809,651,1064,54.94
COWETA,TURIN TOWN HALL,07:05:00,19:03:00,1899-12-30 07:05:00,1899-12-30 19:03:00,4289,517,883,43.2
COWETA,UNITY BAPTIST CHURCH GYM,07:02:00,19:19:00,1899-12-30 07:02:00,1899-12-30 19:19:00,2491,313,420,25.48
COWETA,WELCOME COMMUNITY CENTER,07:02:00,19:06:00,1899-12-30 07:02:00,1899-12-30 19:06:00,3172,421,547,34.89
CRAWFORD,COOL SPRINGS BAPTIST CHURCH,07:24:00,18:52:00,1899-12-30 07:24:00,1899-12-30 18:52:00,504,70,86,6.1
CRAWFORD,CRAWFORD COUNTY CIVIC CENTER,07:24:00,18:52:00,1899-12-30 07:24:00,1899-12-30 18:52:00,1696,70,360,6.1
CRAWFORD,CRAWFORD COUNTY GOVERNMENT COMPLEX,07:04:00,19:02:00,1899-12-30 07:04:00,1899-12-30 19:02:00,970,152,245,12.7
CRAWFORD,FELLOWSHIP CHURCH,07:06:00,18:52:00,1899-12-30 07:06:00,1899-12-30 18:52:00,1727,223,292,18.95
CRAWFORD,FRIENDSHIP COMMUNITY HOUSE,07:02:00,18:54:00,1899-12-30 07:02:00,1899-12-30 18:54:00,1706,243,263,20.48
CRAWFORD,MUSELLA BAPTIST CHURCH,07:02:00,18:51:00,1899-12-30 07:02:00,1899-12-30 18:51:00,1632,191,516,16.16
CRISP,ADKINS COMMUNITY CLUBHOUSE,07:06:00,18:47:00,1899-12-30 07:06:00,1899-12-30 18:47:00,832,153,299,13.1
CRISP,ARABI BAPTIST CHURCH,07:05:00,19:03:00,1899-12-30 07:05:00,1899-12-30 19:03:00,757,120,149,10.03
CRISP,COURTHOUSE ANNEX,07:04:00,19:41:00,1899-12-30 07:04:00,1899-12-30 19:41:00,8812,768,1772,60.87
CRISP,EBENEZER CHURCH ANNEX,07:12:00,19:15:00,1899-12-30 07:12:00,1899-12-30 19:15:00,1143,191,373,15.85
CRISP,TREMONT COMMUNITY CLUBHOUSE,07:05:00,18:52:00,1899-12-30 07:05:00,1899-12-30 18:52:00,781,127,237,10.78
DADE,ADMIN.BLDG CMM/ROOM,07:14:00,19:12:00,1899-12-30 07:14:00,1899-12-30 19:12:00,3580,340,802,28.41
DADE,COMMUNITY CENTER,07:43:00,18:41:00,1899-12-30 07:43:00,1899-12-30 18:41:00,996,178,210,16.23
DADE,NEW HOME COMMUNITY CENTER,07:13:00,18:51:00,1899-12-30 07:13:00,1899-12-30 18:51:00,677,147,135,12.64
DADE,NEW SALEM COMMUNTIY CENTER,07:09:00,18:59:00,1899-12-30 07:09:00,1899-12-30 18:59:00,1233,235,334,19.86
DADE,WEST BROW COMMUNITY CENTER,07:04:00,18:54:00,1899-12-30 07:04:00,1899-12-30 18:54:00,1344,197,262,16.65
DADE,WHITE OAK FAM. LIFE CENTER,07:08:00,19:02:00,1899-12-30 07:08:00,1899-12-30 19:02:00,1929,324,370,27.23
DADE,WILDWOOD COMMUNITY CENTER,07:18:00,18:56:00,1899-12-30 07:18:00,1899-12-30 18:56:00,1890,249,442,21.4
DAWSON,DAWSON CO ELECT & REG OFFICE,07:02:00,19:17:00,1899-12-30 07:02:00,1899-12-30 19:17:00,9492,998,2770,81.47
DAWSON,DAWSON CO EMS STATION 2,07:02:00,19:17:00,1899-12-30 07:02:00,1899-12-30 19:17:00,8492,998,2244,81.47
DAWSON,DAWSON CO FIRE STATION 6,07:02:00,18:56:00,1899-12-30 07:02:00,1899-12-30 18:56:00,2600,285,861,23.95
DECATUR,ATTAPULGUS COMMUNITY CENTER,07:00:00,18:55:00,1899-12-30 07:00:00,1899-12-30 18:55:00,1734,192,371,16.11
DECATUR,BRINSON CITY MUNICIPAL BLDG,07:01:00,18:57:00,1899-12-30 07:01:00,1899-12-30 18:57:00,811,117,172,9.8
DECATUR,CLIMAX VOLUNTEER FIRE DEPT.,07:06:00,18:46:00,1899-12-30 07:06:00,1899-12-30 18:46:00,940,141,181,12.09
DECATUR,DECATUR COUNTY MEMORIAL COLISEUM,07:02:00,18:59:00,1899-12-30 07:02:00,1899-12-30 18:59:00,5331,567,1197,47.45
DECATUR,FAIRGROUNDS EXHIBIT HALL,07:00:00,18:59:00,1899-12-30 07:00:00,1899-12-30 18:59:00,3125,365,531,30.46
DECATUR,KENDRICK VOLUNTEER FIRE DEPT.,07:27:00,18:42:00,1899-12-30 07:27:00,1899-12-30 18:42:00,548,95,102,8.44
DECATUR,MT. PLEASANT VOL. FIRE DEPT.,07:19:00,18:43:00,1899-12-30 07:19:00,1899-12-30 18:43:00,553,91,106,7.98
DECATUR,RECOVERY VOL FIRE DEPT,09:30:00,18:34:00,1899-12-30 09:30:00,1899-12-30 18:34:00,659,83,133,9.15
DECATUR,WEST BAINBRIDGE,07:05:00,18:57:00,1899-12-30 07:05:00,1899-12-30 18:57:00,2041,246,381,20.73
DEKALB,ALL SAINTS CATHOLIC CHURCH,07:04:00,19:01:00,1899-12-30 07:04:00,1899-12-30 19:01:00,2579,396,735,33.14
DEKALB,ALLGOOD ELEMENTARY SCHOOL,07:18:00,20:23:00,1899-12-30 07:18:00,1899-12-30 20:23:00,2745,435,674,33.25
DEKALB,ANTIOCH A. M. E. CHURCH,09:51:00,20:08:00,1899-12-30 09:51:00,1899-12-30 20:08:00,3735,453,729,44.05
DEKALB,ASHFORD PARK ELEMENTARY SCHOOL,08:05:00,18:59:00,1899-12-30 08:05:00,1899-12-30 18:59:00,2320,361,411,33.12
DEKALB,ASHFORD PARK ELEMENTARY SCHOOL,07:02:00,19:02:00,1899-12-30 07:02:00,1899-12-30 19:02:00,4810,581,900,48.42
DEKALB,ATLANTA METROPOLITAN CHURCH,07:03:00,18:58:00,1899-12-30 07:03:00,1899-12-30 18:58:00,2974,451,859,37.85
DEKALB,AVONDALE CITY HALL,07:04:00,19:00:00,1899-12-30 07:04:00,1899-12-30 19:00:00,2822,531,1102,44.5
DEKALB,AVONDALE HIGH SCHOOL,07:04:00,19:34:00,1899-12-30 07:04:00,1899-12-30 19:34:00,3071,440,1091,35.2
DEKALB,AVONDALE PATTILLO UMC,07:06:00,19:08:00,1899-12-30 07:06:00,1899-12-30 19:08:00,3255,297,385,24.68
DEKALB,BETHESDA CATHEDRAL OF APOSTOLI,09:17:00,19:07:00,1899-12-30 09:17:00,1899-12-30 19:07:00,2608,339,482,34.47
DEKALB,BETHUNE MIDDLE SCHOOL,07:05:00,19:38:00,1899-12-30 07:05:00,1899-12-30 19:38:00,4696,617,953,49.16
DEKALB,BEULAH MISSIONARY BAPTIST CHURCH,07:04:00,22:59:00,1899-12-30 07:04:00,1899-12-30 22:59:00,5046,470,1194,29.53
DEKALB,BIG MILLER GROVE BAPTIST CHUR,07:18:00,19:10:00,1899-12-30 07:18:00,1899-12-30 19:10:00,2110,413,543,34.8
DEKALB,BOB MATHIS ELEMENTARY SCH,07:14:00,19:04:00,1899-12-30 07:14:00,1899-12-30 19:04:00,2753,400,822,33.8
DEKALB,BRIAR VISTA ELEMENTARY SCHOOL,07:01:00,19:51:00,1899-12-30 07:01:00,1899-12-30 19:51:00,4368,617,1346,48.08
DEKALB,BRIARLAKE ELEMENTARY SCH,07:03:00,18:54:00,1899-12-30 07:03:00,1899-12-30 18:54:00,1708,308,541,25.99
DEKALB,BRIARLAKE ELEMENTARY SCH,07:05:00,18:53:00,1899-12-30 07:05:00,1899-12-30 18:53:00,3033,440,1103,37.29
DEKALB,BRIARLAKE ELEMENTARY SCH,07:26:00,18:55:00,1899-12-30 07:26:00,1899-12-30 18:55:00,1459,256,486,22.29
DEKALB,BRIARWOOD RECREATION CEN,07:06:00,19:49:00,1899-12-30 07:06:00,1899-12-30 19:49:00,2318,339,376,26.66
DEKALB,BROCKETT ELEMENTARY SCH,07:15:00,18:55:00,1899-12-30 07:15:00,1899-12-30 18:55:00,2630,354,656,30.34
DEKALB,BROWNS MILL ELEMENTARY SCHOOL,07:10:00,19:27:00,1899-12-30 07:10:00,1899-12-30 19:27:00,3730,695,1029,56.58
DEKALB,CANBY LANE ELEMENTARY SCH,07:03:00,18:59:00,1899-12-30 07:03:00,1899-12-30 18:59:00,1963,251,468,21.03
DEKALB,CEDAR GROVE ELEMENTARY SCH,07:12:00,19:45:00,1899-12-30 07:12:00,1899-12-30 19:45:00,4013,634,964,50.52
DEKALB,CEDAR GROVE MIDDLE SCHOOL,07:16:00,19:02:00,1899-12-30 07:16:00,1899-12-30 19:02:00,1803,173,310,14.7
DEKALB,CEDAR GROVE UNITED METH CHURCH,07:35:00,22:29:00,1899-12-30 07:35:00,1899-12-30 22:29:00,3818,530,871,35.57
DEKALB,CHAMBLEE CIVIC CENTER,07:05:00,19:40:00,1899-12-30 07:05:00,1899-12-30 19:40:00,4991,698,1034,55.47
DEKALB,CHAMPION THEME MIDDLE SCHOOL,07:12:00,20:19:00,1899-12-30 07:12:00,1899-12-30 20:19:00,4610,621,717,47.34
DEKALB,CHAPEL HILL ELEMENTARY SCH,07:34:00,19:55:00,1899-12-30 07:34:00,1899-12-30 19:55:00,3252,476,820,38.54
DEKALB,CHESNUT ELEMENTARY SCH,07:16:00,19:03:00,1899-12-30 07:16:00,1899-12-30 19:03:00,2287,402,434,34.12
DEKALB,CLAIRMONT PRESBYTERIAN CHURCH,07:03:00,20:02:00,1899-12-30 07:03:00,1899-12-30 20:02:00,2981,360,881,27.73
DEKALB,CLARKSTON COMMUNITY CENTER,07:32:00,18:58:00,1899-12-30 07:32:00,1899-12-30 18:58:00,2378,270,317,23.62
DEKALB,CLARKSTON FIRST BAPTIST CHURCH LIFE CENTER,07:05:00,19:49:00,1899-12-30 07:05:00,1899-12-30 19:49:00,3730,409,309,32.12
DEKALB,COAN PARK RECREATION CENTER,07:06:00,20:23:00,1899-12-30 07:06:00,1899-12-30 20:23:00,4008,561,1012,42.23
DEKALB,COLUMBIA ELEMENTARY SCH,07:35:00,18:57:00,1899-12-30 07:35:00,1899-12-30 18:57:00,1795,156,238,13.72
DEKALB,COLUMBIA MIDDLE SCHOOL,07:18:00,20:47:00,1899-12-30 07:18:00,1899-12-30 20:47:00,2147,243,383,18.02
DEKALB,CONGREGATION BETH SHALOM,07:05:00,18:58:00,1899-12-30 07:05:00,1899-12-30 18:58:00,1388,219,414,18.43
DEKALB,CROSS KEYS HIGH SCHOOL,07:42:00,21:54:00,1899-12-30 07:42:00,1899-12-30 21:54:00,5057,593,1072,41.76
DEKALB,CROSSROADS PRESBYTERIAN CH,07:04:00,19:22:00,1899-12-30 07:04:00,1899-12-30 19:22:00,2826,371,666,30.16
DEKALB,DECATUR LEGACY PARK,07:11:00,19:00:00,1899-12-30 07:11:00,1899-12-30 19:00:00,2305,398,850,33.68
DEKALB,DECATUR RECREATION DEPARTMENT,07:03:00,19:03:00,1899-12-30 07:03:00,1899-12-30 19:03:00,3156,469,1173,39.08
DEKALB,DECATUR RECREATION DEPARTMENT,07:10:00,19:01:00,1899-12-30 07:10:00,1899-12-30 19:01:00,2568,331,859,27.93
DEKALB,DECATUR RECREATION DEPARTMENT,07:13:00,19:11:00,1899-12-30 07:13:00,1899-12-30 19:11:00,2785,313,870,26.16
DEKALB,DORAVILLE CITY HALL,07:00:00,19:09:00,1899-12-30 07:00:00,1899-12-30 19:09:00,4181,655,586,53.91
DEKALB,DRESDEN ELEMENTARY SCH,07:04:00,19:08:00,1899-12-30 07:04:00,1899-12-30 19:08:00,4986,608,889,50.39
DEKALB,DRUID HILLS HIGH SCHOOL,07:09:00,19:04:00,1899-12-30 07:09:00,1899-12-30 19:04:00,2572,330,681,27.69
DEKALB,DUNAIRE ELEMENTARY SCH,07:09:00,19:03:00,1899-12-30 07:09:00,1899-12-30 19:03:00,2197,305,479,25.63
DEKALB,DUNWOODY HIGH,07:17:00,18:59:00,1899-12-30 07:17:00,1899-12-30 18:59:00,1978,241,650,20.6
DEKALB,DUNWOODY HIGH,07:14:00,19:01:00,1899-12-30 07:14:00,1899-12-30 19:01:00,2204,300,675,25.46
DEKALB,DUNWOODY HIGH,07:28:00,19:03:00,1899-12-30 07:28:00,1899-12-30 19:03:00,1503,227,405,19.6
DEKALB,DUNWOODY LIBRARY,07:08:00,19:59:00,1899-12-30 07:08:00,1899-12-30 19:59:00,2469,314,721,24.44
DEKALB,ELDRIDGE L MILLER ELEMENTARY S,07:06:00,19:05:00,1899-12-30 07:06:00,1899-12-30 19:05:00,3354,455,717,37.97
DEKALB,EMORY PRESBYTERIAN CHURCH,07:10:00,18:47:00,1899-12-30 07:10:00,1899-12-30 18:47:00,1990,128,316,11.02
DEKALB,EVANSDALE ELEMENTARY SCH,07:04:00,18:54:00,1899-12-30 07:04:00,1899-12-30 18:54:00,1662,222,504,18.76
DEKALB,EVANSDALE ELEMENTARY SCH,07:14:00,19:06:00,1899-12-30 07:14:00,1899-12-30 19:06:00,3322,477,897,40.2
DEKALB,EVANSDALE ELEMENTARY SCH,07:03:00,20:17:00,1899-12-30 07:03:00,1899-12-30 20:17:00,4346,471,530,35.59
DEKALB,EVERGREEN BAPTIST CHURCH,07:03:00,18:51:00,1899-12-30 07:03:00,1899-12-30 18:51:00,1899,357,629,30.25
DEKALB,FAIRFIELD BAPTIST CHURCH,07:12:00,20:28:00,1899-12-30 07:12:00,1899-12-30 20:28:00,2823,364,534,27.44
DEKALB,FAIRINGTON ELEMENTARY SCHOOL,07:06:00,20:37:00,1899-12-30 07:06:00,1899-12-30 20:37:00,5116,612,661,45.28
DEKALB,FERNBANK ELEMENTARY SCHOOL,07:21:00,19:01:00,1899-12-30 07:21:00,1899-12-30 19:01:00,2071,318,882,27.26
DEKALB,FIRST ICONIUM BAPTIST CHURCH,07:04:00,21:14:00,1899-12-30 07:04:00,1899-12-30 21:14:00,3265,645,945,45.53
DEKALB,FIRST REPHIDIM MISSIONARY BAPT,07:03:00,19:01:00,1899-12-30 07:03:00,1899-12-30 19:01:00,2205,288,386,24.07
