,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others,Population Density: Hispanic,Population Density: White,Population Density: Black,Population Density: Asian,Population Density: Mixed,Population Density: Others
28,"BODDIE, Baldwin County, Georgia",7000000US1300900CTY3,1697.0,87.0,612.0,910.0,12.0,55.0,21.0,0.05126694166175604,0.3606364172068356,0.5362404242781379,0.007071302298173247,0.03241013553329405,0.012374779021803181
29,"COURTHOUSE, Baldwin County, Georgia",7000000US1300900CTY4,3136.0,149.0,2361.0,458.0,39.0,67.0,62.0,0.04751275510204082,0.7528698979591837,0.14604591836734693,0.012436224489795918,0.021364795918367346,0.019770408163265307
30,"FIRE DEPT, Baldwin County, Georgia",7000000US1300900CTY5,1643.0,26.0,631.0,892.0,52.0,34.0,8.0,0.01582471089470481,0.3840535605599513,0.5429093122337189,0.03164942178940962,0.020693852708460133,0.004869141813755326
31,"NORTH MILLEDGEVILLE, Baldwin County, Georgia",7000000US1300900CTY6,3364.0,61.0,1485.0,1668.0,83.0,48.0,19.0,0.018133174791914387,0.4414387633769322,0.4958382877526754,0.024673008323424495,0.014268727705112961,0.005648038049940547
32,"MERIWEATHER, Baldwin County, Georgia",7000000US1300900MERI,3664.0,133.0,2363.0,957.0,82.0,117.0,12.0,0.036299126637554587,0.6449235807860262,0.26118995633187775,0.02237991266375546,0.03193231441048035,0.0032751091703056767
33,"EAST BALDWIN, Baldwin County, Georgia",7000000US1300900MONT,5158.0,53.0,2989.0,1935.0,17.0,132.0,32.0,0.010275300504071345,0.5794881737107406,0.37514540519581235,0.0032958511050794883,0.025591314462970142,0.006203955021326095
34,"0110001 - ANDERSON Voting District, Banks County, Georgia",7000000US13011000001,2159.0,84.0,1956.0,38.0,17.0,59.0,5.0,0.03890690134321445,0.9059749884205651,0.01760074108383511,0.007874015748031496,0.02732746641963872,0.002315886984715146
35,"0110002 - BALDWIN Voting District, Banks County, Georgia",7000000US13011000002,1209.0,173.0,965.0,9.0,26.0,34.0,2.0,0.14309346567411083,0.7981803143093466,0.007444168734491315,0.021505376344086023,0.028122415219189414,0.0016542597187758478
36,"0110003 - BERLIN Voting District, Banks County, Georgia",7000000US13011000003,545.0,10.0,482.0,12.0,20.0,19.0,2.0,0.01834862385321101,0.8844036697247707,0.022018348623853212,0.03669724770642202,0.03486238532110092,0.003669724770642202
37,"0110004 - BUSHVILLE Voting District, Banks County, Georgia",7000000US13011000004,1220.0,91.0,1014.0,56.0,11.0,43.0,5.0,0.07459016393442623,0.8311475409836065,0.04590163934426229,0.009016393442622951,0.03524590163934426,0.004098360655737705
38,"0110005 - COLUMBIA Voting District, Banks County, Georgia",7000000US13011000005,495.0,29.0,436.0,9.0,0.0,19.0,2.0,0.05858585858585859,0.8808080808080808,0.01818181818181818,0.0,0.03838383838383838,0.00404040404040404
39,"0110006 - DAVIDS Voting District, Banks County, Georgia",7000000US13011000006,2685.0,97.0,2292.0,97.0,46.0,138.0,15.0,0.036126629422718805,0.8536312849162011,0.036126629422718805,0.01713221601489758,0.05139664804469274,0.00558659217877095
40,"0110007 - GOLDEN HILL Voting District, Banks County, Georgia",7000000US13011000007,1615.0,271.0,1270.0,10.0,7.0,46.0,11.0,0.16780185758513932,0.7863777089783281,0.006191950464396285,0.0043343653250774,0.02848297213622291,0.006811145510835914
41,"0110008 - GROVE RIVER Voting District, Banks County, Georgia",7000000US13011000008,779.0,65.0,671.0,5.0,3.0,29.0,6.0,0.0834403080872914,0.8613607188703466,0.006418485237483954,0.0038510911424903724,0.037227214377406934,0.007702182284980745
42,"0110009 - HOLLINGSWORTH Voting District, Banks County, Georgia",7000000US13011000009,938.0,59.0,830.0,12.0,6.0,23.0,8.0,0.0628997867803838,0.8848614072494669,0.01279317697228145,0.006396588486140725,0.024520255863539446,0.008528784648187633
43,"0110010 - HOMER Voting District, Banks County, Georgia",7000000US13011000010,2136.0,87.0,1907.0,56.0,6.0,71.0,9.0,0.04073033707865169,0.8927902621722846,0.026217228464419477,0.0028089887640449437,0.03323970037453183,0.004213483146067416
44,"0110011 - POPLAR SPRINGS Voting District, Banks County, Georgia",7000000US13011000011,2430.0,128.0,2123.0,61.0,23.0,85.0,10.0,0.05267489711934156,0.8736625514403292,0.025102880658436213,0.009465020576131687,0.03497942386831276,0.00411522633744856
45,"0110012 - WASHINGTON Voting District, Banks County, Georgia",7000000US13011000012,1016.0,42.0,892.0,20.0,17.0,37.0,8.0,0.04133858267716536,0.8779527559055118,0.01968503937007874,0.01673228346456693,0.03641732283464567,0.007874015748031496
46,"0110013 - WILMONTS Voting District, Banks County, Georgia",7000000US13011000013,808.0,28.0,740.0,9.0,7.0,17.0,7.0,0.034653465346534656,0.9158415841584159,0.011138613861386138,0.008663366336633664,0.02103960396039604,0.008663366336633664
47,"01, Barrow County, Georgia",7000000US13013000001,5196.0,785.0,3593.0,414.0,183.0,177.0,44.0,0.15107775211701308,0.6914934565050038,0.07967667436489607,0.03521939953810624,0.034064665127020784,0.008468052347959968
