,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others
721,"ARTS CENTRE, Coweta County, Georgia",7000000US13077000018,16279,1356,11024,2253,923,625,98
722,"GREENTOP, Coweta County, Georgia",7000000US13077000019,5068,617,2879,1235,109,194,34
723,"EXPO CENTER, Coweta County, Georgia",7000000US13077000020,3165,227,2377,435,12,94,20
724,"WHITE OAK, Coweta County, Georgia",7000000US13077000021,5935,538,4358,650,90,256,43
725,"MADRAS, Coweta County, Georgia",7000000US13077000022,6111,441,4358,903,176,199,34
726,"CANNONGATE, Coweta County, Georgia",7000000US13077000023,4768,385,3874,185,100,208,16
727,"WESTSIDE, Coweta County, Georgia",7000000US13077000024,1296,116,502,602,2,65,9
728,"NORTHSIDE, Coweta County, Georgia",7000000US13077000025,3003,195,2068,591,34,110,5
729,"THOMAS CROSSROADS, Coweta County, Georgia",7000000US13077000026,6318,331,5122,440,136,241,48
730,"COWETA CENTRAL LIBRARY, Coweta County, Georgia",7000000US13077000027,2151,206,1582,162,45,137,19
731,"JEFFERSON PARKWAY, Coweta County, Georgia",7000000US13077000028,14111,1598,6408,4454,904,638,109
732,"2, Crawford County, Georgia",7000000US13079000002,2190,25,1222,844,4,86,9
733,"3, Crawford County, Georgia",7000000US13079000003,2462,94,2014,229,4,94,27
734,"4, Crawford County, Georgia",7000000US13079000004,2535,61,2194,175,4,87,14
735,"5, Crawford County, Georgia",7000000US13079000005,2555,113,2187,118,15,104,18
736,"1A, Crawford County, Georgia",7000000US1307900001A,857,85,483,233,3,35,18
737,"1B, Crawford County, Georgia",7000000US1307900001B,1531,37,766,668,1,53,6
738,"ARABI, Crisp County, Georgia",7000000US130810ARABI,1303,29,991,230,7,46,0
739,"CONEY, Crisp County, Georgia",7000000US130810CONEY,1058,10,961,59,3,20,5
740,"CORDELE, Crisp County, Georgia",7000000US130810CORDE,14918,507,5419,8377,166,384,65
741,"JAMESTOWN, Crisp County, Georgia",7000000US130810JAMES,1540,13,1389,97,4,23,14
742,"LISTONIA, Crisp County, Georgia",7000000US130810LISTO,1309,75,1132,58,0,42,2
743,"TRENTON, Dade County, Georgia",7000000US13083000960,4225,97,3876,28,44,151,29
744,"NORTH DADE, Dade County, Georgia",7000000US13083000974,2744,84,2365,52,42,178,23
745,"SOUTH DADE, Dade County, Georgia",7000000US13083001038,1303,16,1213,11,9,51,3
746,"NEW SALEM, Dade County, Georgia",7000000US13083001214,1529,20,1421,12,4,71,1
747,"DAVIS, Dade County, Georgia",7000000US13083001222,3219,60,2954,7,8,158,32
748,"NEW HOME, Dade County, Georgia",7000000US13083001885,1050,14,959,0,12,60,5
749,"WEST BROW, Dade County, Georgia",7000000US13083001889,2181,73,1998,31,10,58,11
750,"WEST, Dawson County, Georgia",7000000US13085000001,2409,40,2259,8,19,70,13
751,"CENTRAL, Dawson County, Georgia",7000000US13085000002,12754,636,11338,75,77,534,94
752,"EAST, Dawson County, Georgia",7000000US13085000003,11635,929,9947,117,139,439,64
753,"BAINBRIDGE-COLISEUM, Decatur County, Georgia",7000000US13087000513,10320,721,4839,4346,109,257,48
754,"BDGE-FAIRGROUNDS, Decatur County, Georgia",7000000US13087000514,5926,196,2217,3332,38,114,29
755,"ATTAPULGUS, Decatur County, Georgia",7000000US13087000694,2702,290,889,1453,0,62,8
756,"MT. PLEASANT, Decatur County, Georgia",7000000US13087001277,792,55,583,114,4,29,7
757,"RECOVERY, Decatur County, Georgia",7000000US13087001325,1140,106,863,131,2,26,12
758,"KENDRICK, Decatur County, Georgia",7000000US13087001342,975,28,702,214,8,17,6
759,"CLIMAX, Decatur County, Georgia",7000000US13087001361,1546,133,1114,257,2,36,4
760,"BRINSON, Decatur County, Georgia",7000000US13087001613,1787,72,1246,425,13,22,9
761,"WEST BAINBRIDGE, Decatur County, Georgia",7000000US13087001805,4179,310,1827,1928,7,86,21
762,"Allgood Elem, DeKalb County, Georgia",7000000US130890000AA,3689,202,366,2590,347,122,62
763,"Ashford Park Elem (BHAVN), DeKalb County, Georgia",7000000US130890000AB,3479,250,2758,144,173,124,30
764,"Austin (DUN), DeKalb County, Georgia",7000000US130890000AD,3314,185,2784,90,105,127,23
765,"Avondale (AVO), DeKalb County, Georgia",7000000US130890000AE,3567,143,2781,339,101,176,27
766,"Austin Drive, DeKalb County, Georgia",7000000US130890000AF,2940,93,315,2355,50,103,24
767,"Ashford Dunwoody Road (BHAVN), DeKalb County, Georgia",7000000US130890000AG,3909,242,2938,335,230,126,38
768,"Ashford Parkside (BHAVN), DeKalb County, Georgia",7000000US130890000AH,4891,355,3007,544,751,197,37
769,"Avondale High, DeKalb County, Georgia",7000000US130890000AI,3850,250,2477,776,117,197,33
770,"Boulevard (ATL), DeKalb County, Georgia",7000000US130890000BB,5297,284,3217,1311,153,288,44
771,"Briar Vista Elem (UNI & ATL), DeKalb County, Georgia",7000000US130890000BC,3981,352,2657,397,361,180,34
772,"Briarlake Elem, DeKalb County, Georgia",7000000US130890000BD,2177,111,1626,143,209,79,9
773,"Briarwood (BHAVN), DeKalb County, Georgia",7000000US130890000BE,5969,3215,1871,408,317,141,17
774,"Brockett Elem (TUC), DeKalb County, Georgia",7000000US130890000BF,4499,1222,1409,1346,344,132,46
775,"Briarcliff, DeKalb County, Georgia",7000000US130890000BG,4175,383,2782,520,299,133,58
776,"Brockett (TUC), DeKalb County, Georgia",7000000US130890000BH,3849,667,1601,922,473,145,41
777,"Brookhaven (BHAVN), DeKalb County, Georgia",7000000US130890000BI,5254,322,4038,377,271,203,43
778,"Browns Mill Elem, DeKalb County, Georgia",7000000US130890000BJ,4708,148,118,4230,20,145,47
779,"Bouldercrest Road, DeKalb County, Georgia",7000000US130890000BL,2644,108,71,2377,18,60,10
780,"Bethune Middle, DeKalb County, Georgia",7000000US130890000BM,5754,206,151,5000,166,189,42
781,"Burgess Elem (ATL), DeKalb County, Georgia",7000000US130890000BR,3608,161,1856,1326,73,166,26
782,"Columbia Drive, DeKalb County, Georgia",7000000US130890000CA,3150,82,184,2755,14,81,34
783,"Canby Lane Elem, DeKalb County, Georgia",7000000US130890000CB,2314,105,78,2046,17,51,17
784,"Columbia Elem, DeKalb County, Georgia",7000000US130890000CC,2150,34,61,2004,2,41,8
785,"Cedar Grove Elem, DeKalb County, Georgia",7000000US130890000CD,5280,157,133,4773,10,158,49
786,"Chamblee (CHA), DeKalb County, Georgia",7000000US130890000CE,7314,4480,1672,462,489,129,82
787,"Candler - Murphey Candler Elem, DeKalb County, Georgia",7000000US130890000CF,5200,157,238,4614,23,142,26
788,"Chapel Hill Elem, DeKalb County, Georgia",7000000US130890000CG,3892,93,94,3550,23,103,29
789,"Chesnut Elem (DUN), DeKalb County, Georgia",7000000US130890000CH,3620,671,1354,996,452,122,25
790,"Clairemont West (DEC), DeKalb County, Georgia",7000000US130890000CI,4403,230,3107,440,294,300,32
791,"Clairmont Road, DeKalb County, Georgia",7000000US130890000CJ,4525,287,2683,681,661,166,47
792,"Clarkston, DeKalb County, Georgia",7000000US130890000CK,14754,549,1199,9490,2866,523,127
793,"Clifton, DeKalb County, Georgia",7000000US130890000CL,2265,89,94,2011,14,36,21
794,"Columbia Middle, DeKalb County, Georgia",7000000US130890000CM,2579,57,58,2353,15,73,23
795,"Cross Keys High (BHAVN), DeKalb County, Georgia",7000000US130890000CO,4747,2070,1859,411,227,139,41
796,"Crossroads, DeKalb County, Georgia",7000000US130890000CP,3365,141,102,2903,73,114,32
797,"Candler, DeKalb County, Georgia",7000000US130890000CQ,4062,163,999,2658,43,163,36
798,"Cedar Grove Middle, DeKalb County, Georgia",7000000US130890000CR,2520,38,46,2331,12,64,29
799,"Cedar Grove South, DeKalb County, Georgia",7000000US130890000CS,5066,117,105,4708,20,91,25
800,"Covington Hwy, DeKalb County, Georgia",7000000US130890000CT,703,30,29,585,21,36,2
801,"Covington, DeKalb County, Georgia",7000000US130890000CU,2485,148,839,1232,122,123,21
802,"Clairemont East (DEC), DeKalb County, Georgia",7000000US130890000CV,4310,225,3190,322,328,219,26
803,"Coralwood, DeKalb County, Georgia",7000000US130890000CW,3954,172,3027,241,320,173,21
804,"Chamblee 2 (CHA), DeKalb County, Georgia",7000000US130890000CX,4347,360,2935,408,410,202,32
805,"Doraville North (DOR), DeKalb County, Georgia",7000000US130890000DA,7900,4688,1057,798,1136,165,56
806,"Doraville South (DOR), DeKalb County, Georgia",7000000US130890000DB,2598,1202,619,148,539,69,21
807,"Dresden Elem (CHA), DeKalb County, Georgia",7000000US130890000DC,13089,7314,2878,1609,969,218,101
808,"Dunaire Elem, DeKalb County, Georgia",7000000US130890000DE,2974,180,404,1892,356,103,39
809,"Dunwoody (DUN), DeKalb County, Georgia",7000000US130890000DF,7457,434,2609,811,3296,220,87
810,"Dunwoody 2 (DUN), DeKalb County, Georgia",7000000US130890000DG,2780,125,2241,87,201,114,12
811,"Druid Hills, DeKalb County, Georgia",7000000US130890000DH,5078,245,2471,1570,598,174,20
812,"Dunwoody Library (DUN), DeKalb County, Georgia",7000000US130890000DI,3279,130,2763,37,235,102,12
813,"East Lake (ATL), DeKalb County, Georgia",7000000US130890000EA,4951,183,2000,2432,87,220,29
814,"Embry Hills, DeKalb County, Georgia",7000000US130890000EC,2876,995,1175,313,262,115,16
815,"Epworth (ATL), DeKalb County, Georgia",7000000US130890000EE,5096,293,4086,224,178,269,46
816,"Evansdale Elem, DeKalb County, Georgia",7000000US130890000EF,5368,1360,2217,1002,566,177,46
817,"Emory South (UNI & ATL), DeKalb County, Georgia",7000000US130890000EG,4111,274,3074,357,208,177,21
818,"Emory Road, DeKalb County, Georgia",7000000US130890000ER,4305,226,1736,1154,1008,157,24
819,"Fairington Elem, DeKalb County, Georgia",7000000US130890000FA,7575,212,144,6956,19,190,54
820,"Fernbank, DeKalb County, Georgia",7000000US130890000FB,2658,117,2165,84,138,140,14
821,"Flat Shoals Elem, DeKalb County, Georgia",7000000US130890000FC,3324,83,102,3056,6,52,25
822,"Flat Shoals Parkway, DeKalb County, Georgia",7000000US130890000FE,4233,94,90,3845,19,139,46
823,"Flat Rock Elem, DeKalb County, Georgia",7000000US130890000FG,4059,90,51,3818,5,82,13
824,"Flat Shoals, DeKalb County, Georgia",7000000US130890000FJ,3041,80,110,2741,23,83,4
825,"Flakes Mill Fire Station, DeKalb County, Georgia",7000000US130890000FK,2659,82,59,2390,12,92,24
826,"Flat Shoals Library, DeKalb County, Georgia",7000000US130890000FL,3696,71,56,3427,26,82,34
827,"Freedom Middle, DeKalb County, Georgia",7000000US130890000FM,4090,288,349,3040,231,144,38
828,"Glennwood (DEC), DeKalb County, Georgia",7000000US130890000GA,3280,197,2050,641,197,168,27
829,"Glenhaven, DeKalb County, Georgia",7000000US130890000GB,2431,204,182,1707,237,72,29
830,"Gresham Road, DeKalb County, Georgia",7000000US130890000GC,4168,184,985,2782,49,142,26
831,"Georgetown (DUN), DeKalb County, Georgia",7000000US130890000GD,6102,485,2679,1285,1342,233,78
832,"Glenwood Road, DeKalb County, Georgia",7000000US130890000GF,2762,129,169,2378,18,50,18
833,"Hambrick Elem, DeKalb County, Georgia",7000000US130890000HA,5955,230,404,3814,1249,212,46
834,"Hawthorne Elem, DeKalb County, Georgia",7000000US130890000HB,5799,1018,2363,1702,377,293,46
835,"Henderson Mill, DeKalb County, Georgia",7000000US130890000HC,4400,587,2252,912,443,176,30
836,"Huntley Hills Elem (CHA), DeKalb County, Georgia",7000000US130890000HF,5436,962,1946,1556,723,206,43
837,"Hugh Howell (TUC), DeKalb County, Georgia",7000000US130890000HG,1998,83,1080,564,143,102,26
838,"Harris - Narvie J. Harris Elem, DeKalb County, Georgia",7000000US130890000HH,5021,153,76,4576,14,169,33
839,"Harris - Margaret Harris Ed, DeKalb County, Georgia",7000000US130890000HI,2439,247,1231,523,289,126,23
840,"Idlewood Elem (TUC), DeKalb County, Georgia",7000000US130890000IA,3662,225,674,2175,455,110,23
841,"Indian Creek, DeKalb County, Georgia",7000000US130890000IB,6629,207,759,2617,2699,282,65
842,"Johnson Estates (ATL), DeKalb County, Georgia",7000000US130890000JA,2060,222,1611,40,78,103,6
843,"Jolly Elem, DeKalb County, Georgia",7000000US130890000JB,6977,276,866,4024,1504,259,48
844,"Kelley Lake Elem, DeKalb County, Georgia",7000000US130890000KA,3291,73,303,2783,17,92,23
845,"Kingsley Elem (DUN), DeKalb County, Georgia",7000000US130890000KB,2908,122,2387,86,177,110,26
846,"Kelley Chapel Road, DeKalb County, Georgia",7000000US130890000KC,1377,17,53,1262,3,34,8
847,"King - ML King Jr High, DeKalb County, Georgia",7000000US130890000KD,5937,146,46,5557,20,128,40
848,"Knollwood Elem, DeKalb County, Georgia",7000000US130890000KE,2605,132,601,1698,28,126,20
849,"Kittredge Elem (BHAVN), DeKalb County, Georgia",7000000US130890000KG,2751,168,2138,134,188,104,19
850,"Lakeside High, DeKalb County, Georgia",7000000US130890000LA,4544,786,2909,433,234,159,23
851,"Lavista Road, DeKalb County, Georgia",7000000US130890000LB,3254,194,2443,202,217,147,51
852,"Lavista, DeKalb County, Georgia",7000000US130890000LC,5131,809,2560,931,602,182,47
853,"Lithonia (LIT), DeKalb County, Georgia",7000000US130890000LD,2662,203,128,2212,18,83,18
854,"Lin - Mary Lin Elem (ATL), DeKalb County, Georgia",7000000US130890000LE,3697,188,2950,180,171,190,18
855,"Lithonia High, DeKalb County, Georgia",7000000US130890000LH,4641,134,84,4249,16,134,24
856,"Livsey Elem, DeKalb County, Georgia",7000000US130890000LV,1777,245,1124,135,164,98,11
857,"Miller - Eldridge L. Miller Elem, DeKalb County, Georgia",7000000US130890000MA,4272,312,167,3533,53,120,87
858,"McNair High, DeKalb County, Georgia",7000000US130890000MB,4813,412,1624,2459,65,214,39
859,"Marbut Elem, DeKalb County, Georgia",7000000US130890000MC,5631,168,68,5154,19,192,30
860,"McNair, DeKalb County, Georgia",7000000US130890000MD,2900,120,675,1966,27,83,29
861,"McLendon, DeKalb County, Georgia",7000000US130890000ME,5881,491,2313,1310,1450,268,49
862,"McWilliams, DeKalb County, Georgia",7000000US130890000MF,3573,69,94,3295,14,82,19
863,"Medlock, DeKalb County, Georgia",7000000US130890000MG,2513,160,1867,150,173,142,21
864,"Midvale Elem (TUC), DeKalb County, Georgia",7000000US130890000MH,3140,256,2257,231,264,118,14
865,"Miller Grove, DeKalb County, Georgia",7000000US130890000MI,6361,153,109,5819,38,190,52
866,"Montclair Elem (BHAVN), DeKalb County, Georgia",7000000US130890000MJ,5367,2704,788,1380,313,145,37
867,"Montreal (TUC), DeKalb County, Georgia",7000000US130890000MK,3928,430,1381,1454,456,168,39
868,"Meadowview, DeKalb County, Georgia",7000000US130890000ML,4578,222,746,3406,30,146,28
869,"Memorial South, DeKalb County, Georgia",7000000US130890000MN,4773,206,218,3933,252,130,34
870,"Midway Elem, DeKalb County, Georgia",7000000US130890000MO,3508,175,735,2392,39,142,25
871,"McNair Academy, DeKalb County, Georgia",7000000US130890000MP,1958,84,650,1117,12,84,11
872,"Mount Vernon East (DUN), DeKalb County, Georgia",7000000US130890000MQ,3421,175,2681,123,245,170,27
873,"Mathis - Bob Mathis Elem, DeKalb County, Georgia",7000000US130890000MR,2961,43,138,2655,12,85,28
874,"Mt.Vernon West (DUN), DeKalb County, Georgia",7000000US130890000MS,4356,186,2406,165,1410,172,17
875,"Metropolitan (ATL), DeKalb County, Georgia",7000000US130890000MT,3754,197,2060,1185,114,175,23
876,"Montgomery Elem (BHAVN), DeKalb County, Georgia",7000000US130890000MU,3190,206,2300,196,266,199,23
877,"Miller Grove Road, DeKalb County, Georgia",7000000US130890000MV,2607,66,85,2362,11,62,21
878,"Midvale Road, DeKalb County, Georgia",7000000US130890000MW,2367,173,691,1188,210,96,9
879,"Miller Grove High, DeKalb County, Georgia",7000000US130890000MZ,5293,152,81,4871,29,118,42
880,"North Decatur, DeKalb County, Georgia",7000000US130890000NB,3890,213,1411,1164,873,169,60
881,"North Hairston, DeKalb County, Georgia",7000000US130890000NC,3175,128,364,2099,435,116,33
882,"Northlake, DeKalb County, Georgia",7000000US130890000ND,1875,133,1310,115,221,91,5
883,"North Peachtree (DUN), DeKalb County, Georgia",7000000US130890000NF,5450,3226,1129,662,282,118,33
884,"Oak Grove Elem, DeKalb County, Georgia",7000000US130890000OA,3231,399,2007,245,406,161,13
885,"Oakcliff Elem, DeKalb County, Georgia",7000000US130890000OB,5414,3019,611,486,1146,97,55
886,"Oakhurst (DEC), DeKalb County, Georgia",7000000US130890000OK,4124,197,2800,703,141,256,27
887,"Oak View Elem, DeKalb County, Georgia",7000000US130890000OV,6314,173,121,5830,18,123,49
888,"Peachcrest, DeKalb County, Georgia",7000000US130890000PA,2848,194,614,1892,37,80,31
889,"Peachtree Middle (DUN), DeKalb County, Georgia",7000000US130890000PB,5036,539,1956,1467,782,232,60
890,"Princeton Elem, DeKalb County, Georgia",7000000US130890000PC,3064,164,89,2713,7,76,15
891,"Pine Lake (PIN), DeKalb County, Georgia",7000000US130890000PE,752,63,480,141,8,47,13
892,"Pleasantdale Road, DeKalb County, Georgia",7000000US130890000PF,9096,3611,1382,3393,390,236,84
893,"Ponce de Leon (DEC), DeKalb County, Georgia",7000000US130890000PG,3574,150,2052,1049,91,198,34
894,"Panola, DeKalb County, Georgia",7000000US130890000PH,1954,101,97,1627,18,74,37
895,"Panola Way Elem, DeKalb County, Georgia",7000000US130890000PI,3012,133,85,2637,23,109,25
896,"Piney Grove, DeKalb County, Georgia",7000000US130890000PN,3001,115,691,1999,31,126,39
897,"Panola Road, DeKalb County, Georgia",7000000US130890000PR,3756,100,43,3505,14,75,19
898,"Rainbow Elem, DeKalb County, Georgia",7000000US130890000RA,4581,156,154,4081,37,127,26
899,"Redan Elem, DeKalb County, Georgia",7000000US130890000RC,3539,118,58,3171,7,143,42
900,"Rehoboth, DeKalb County, Georgia",7000000US130890000RD,2278,194,1594,183,183,109,15
901,"Rockbridge Elem, DeKalb County, Georgia",7000000US130890000RE,5389,331,440,4162,198,196,62
902,"Rock Chapel Elem, DeKalb County, Georgia",7000000US130890000RF,3681,110,105,3309,26,84,47
903,"Rowland Elem, DeKalb County, Georgia",7000000US130890000RG,6024,905,698,4113,172,80,56
904,"Redan-Trotti Library, DeKalb County, Georgia",7000000US130890000RH,4954,190,92,4508,16,128,20
905,"Rockbridge Road, DeKalb County, Georgia",7000000US130890000RI,4840,203,198,4203,41,153,42
906,"Rowland Road, DeKalb County, Georgia",7000000US130890000RJ,2710,107,261,2023,209,79,31
907,"Redan Road, DeKalb County, Georgia",7000000US130890000RK,3510,145,111,3101,22,108,23
908,"Rock Chapel Road, DeKalb County, Georgia",7000000US130890000RL,5432,248,377,4512,58,188,49
909,"Redan Middle, DeKalb County, Georgia",7000000US130890000RM,3052,106,117,2703,34,82,10
910,"Renfroe Middle (DEC), DeKalb County, Georgia",7000000US130890000RN,2260,135,1484,383,98,135,25
911,"Sagamore Hills Elem, DeKalb County, Georgia",7000000US130890000SA,3458,185,2676,162,242,157,36
912,"Scott, DeKalb County, Georgia",7000000US130890000SB,3916,263,2408,491,578,160,16
913,"Shaw Elementary, DeKalb County, Georgia",7000000US130890000SC,3773,227,895,2220,239,145,47
914,"Stone Mountain Elem, DeKalb County, Georgia",7000000US130890000SD,2963,237,890,1587,75,137,37
915,"Silver Lake (ATL & BHAVN), DeKalb County, Georgia",7000000US130890000SE,6820,396,4558,1145,442,253,26
916,"Skyland (BHAVN), DeKalb County, Georgia",7000000US130890000SF,4045,1426,2058,182,235,126,18
917,"Snapfinger Elem, DeKalb County, Georgia",7000000US130890000SG,1944,53,191,1606,12,61,21
918,"Smoke Rise (TUC), DeKalb County, Georgia",7000000US130890000SH,2347,143,1241,759,101,80,23
919,"Stone Mountain Middle (TUC), DeKalb County, Georgia",7000000US130890000SI,4616,226,355,3743,87,187,18
920,"Stone Mill Elem, DeKalb County, Georgia",7000000US130890000SJ,5932,663,323,4592,154,160,40
921,"Shadow Rock Elem, DeKalb County, Georgia",7000000US130890000SK,5484,151,124,4921,87,163,38
922,"Stoneview Elem, DeKalb County, Georgia",7000000US130890000SL,3735,328,184,3077,20,95,31
923,"Salem Middle, DeKalb County, Georgia",7000000US130890000SM,4188,97,80,3858,6,120,27
924,"Shamrock, DeKalb County, Georgia",7000000US130890000SN,2254,164,1392,217,343,115,23
925,"South Deshon, DeKalb County, Georgia",7000000US130890000SO,4382,189,73,3951,21,126,22
926,"Stone Mountain Champion (STO), DeKalb County, Georgia",7000000US130890000SP,4203,353,340,3170,167,137,36
927,"Stone Mountain (STO), DeKalb County, Georgia",7000000US130890000SQ,2468,167,494,1673,38,76,20
928,"Snapfinger Road North, DeKalb County, Georgia",7000000US130890000SR,3158,134,163,2736,17,93,15
929,"Snapfinger Road South, DeKalb County, Georgia",7000000US130890000SS,2191,48,85,1969,20,59,10
930,"Stephenson Middle, DeKalb County, Georgia",7000000US130890000ST,4570,289,206,3850,51,137,37
931,"South Hairston, DeKalb County, Georgia",7000000US130890000SU,4691,228,177,4079,59,132,16
932,"Stephenson High, DeKalb County, Georgia",7000000US130890000SV,4509,313,206,3717,74,138,61
933,"Stonecrest Library, DeKalb County, Georgia",7000000US130890000SW,5831,154,165,5304,24,142,42
934,"Terry Mill, DeKalb County, Georgia",7000000US130890000TA,2987,129,630,2064,39,96,29
935,"Toney Elem, DeKalb County, Georgia",7000000US130890000TC,1734,67,183,1398,5,73,8
936,"Tucker (TUC), DeKalb County, Georgia",7000000US130890000TF,4910,836,2726,726,367,201,54
937,"Tilly Mill Road (DUN), DeKalb County, Georgia",7000000US130890000TG,2126,173,1580,99,125,126,23
938,"Tucker Library (TUC), DeKalb County, Georgia",7000000US130890000TH,4029,530,1652,1282,362,178,25
939,"Valley Brook, DeKalb County, Georgia",7000000US130890000VB,1552,268,783,226,174,91,10
940,"Wadsworth, DeKalb County, Georgia",7000000US130890000WA,3344,117,339,2787,15,67,19
941,"Wesley Chapel Library, DeKalb County, Georgia",7000000US130890000WB,3238,79,69,2972,21,92,5
942,"Coan Recreation Center (ATL), DeKalb County, Georgia",7000000US130890000WC,4981,228,2241,2148,139,186,39
943,"Woodrow Road, DeKalb County, Georgia",7000000US130890000WD,4576,91,156,4150,10,141,28
944,"Winnona Park (DEC), DeKalb County, Georgia",7000000US130890000WF,2884,146,2083,271,165,196,23
945,"Woodridge Elem, DeKalb County, Georgia",7000000US130890000WG,4616,333,204,3671,224,139,45
946,"Warren Tech, DeKalb County, Georgia",7000000US130890000WI,2982,1201,928,549,188,90,26
947,"Woodward Elem (BHAVN), DeKalb County, Georgia",7000000US130890000WJ,4383,826,1914,881,511,203,48
948,"White Oak, DeKalb County, Georgia",7000000US130890000WK,3955,123,74,3571,34,121,32
949,"Winters Chapel (DUN), DeKalb County, Georgia",7000000US130890000WL,1823,156,1255,126,185,86,15
950,"Wynbrooke Elem, DeKalb County, Georgia",7000000US130890000WN,4151,144,249,3557,62,101,38
951,"Young Road, DeKalb County, Georgia",7000000US130890000YA,2222,78,62,1975,8,81,18
952,"LEE, Dodge County, Georgia",7000000US13091000LEE,8498,297,4639,3255,59,211,37
953,"CHAUNCEY, Dodge County, Georgia",7000000US130910CHAUN,638,16,472,130,5,15,0
954,"CLARKS, Dodge County, Georgia",7000000US130910CLARK,175,7,163,2,0,3,0
955,"EDDINS, Dodge County, Georgia",7000000US130910EDDIN,1450,18,1016,379,0,29,8
956,"EMPIRE, Dodge County, Georgia",7000000US130910EMPIR,729,16,617,71,2,20,3
957,"JAYBIRD, Dodge County, Georgia",7000000US130910JAYBI,358,9,249,92,1,7,0
958,"JONES, Dodge County, Georgia",7000000US130910JONES,712,33,627,46,1,5,0
959,"MCCRANIE, Dodge County, Georgia",7000000US130910MCCRA,411,5,302,84,1,16,3
960,"MILAN, Dodge County, Georgia",7000000US130910MILAN,484,2,361,105,6,9,1
961,"MITCHELL, Dodge County, Georgia",7000000US130910MITCH,505,13,415,69,0,8,0
962,"MULLIS, Dodge County, Georgia",7000000US130910MULLI,1975,57,991,898,11,16,2
963,"PLAINFIELD, Dodge County, Georgia",7000000US130910PLAIN,663,18,549,77,0,15,4
964,"PONDTOWN, Dodge County, Georgia",7000000US130910PONDT,952,26,753,153,2,18,0
965,"RAWLINS, Dodge County, Georgia",7000000US130910RAWLI,1707,86,1137,430,6,37,11
966,"VILULA, Dodge County, Georgia",7000000US130910VILUL,182,9,151,16,0,5,1
967,"YONKER, Dodge County, Georgia",7000000US130910YONKE,486,8,423,40,1,13,1
968,"BYROMVILLE, Dooly County, Georgia",7000000US13093000002,995,73,465,425,12,20,0
969,"UNADILLA, Dooly County, Georgia",7000000US13093000005,4085,261,1511,2248,10,43,12
970,"VIENNA, Dooly County, Georgia",7000000US13093000007,4677,398,1813,2346,25,78,17
971,"PINEHURST, Dooly County, Georgia",7000000US13093000008,766,24,471,241,3,24,3
972,"LILLY, Dooly County, Georgia",7000000US13093000010,685,41,351,280,1,11,1
973,"PALMYRA RD METHODIST, Dougherty County, Georgia",7000000US13095000001,3910,83,1697,1965,34,114,17
974,"SHERWOOD ELEM SCHOOL, Dougherty County, Georgia",7000000US13095000002,5046,201,1664,2856,155,143,27
975,"COVENANT CHURCH, Dougherty County, Georgia",7000000US13095000003,3396,92,1320,1834,18,110,22
976,"GREENBRIAR CHURCH, Dougherty County, Georgia",7000000US13095000004,4919,131,2254,2363,53,92,26
977,"WESTOVER HIGH SCHOOL, Dougherty County, Georgia",7000000US13095000005,4857,120,1789,2726,81,121,20
978,"MERRY ACRES MIDDLE, Dougherty County, Georgia",7000000US13095000006,3343,83,1604,1511,31,100,14
979,"DARTON COLLEGE, Dougherty County, Georgia",7000000US13095000007,6483,102,927,5271,24,137,22
980,"WESTTOWN ELEM SCHOOL, Dougherty County, Georgia",7000000US13095000008,4241,65,217,3845,9,86,19
981,"2ND MT ZION CHURCH, Dougherty County, Georgia",7000000US13095000009,1814,38,971,735,3,56,11
982,"MT ZION CENTER, Dougherty County, Georgia",7000000US13095000010,5217,61,135,4926,3,83,9
983,"ALICE COACHMAN, Dougherty County, Georgia",7000000US13095000011,912,18,20,867,1,6,0
984,"CARVER TEEN CENTER, Dougherty County, Georgia",7000000US13095000012,2121,14,21,2050,0,33,3
985,"SHILOH BAPTIST CHURCH, Dougherty County, Georgia",7000000US13095000013,1962,18,75,1791,6,62,10
986,"LITMAN CATHEDRAL, Dougherty County, Georgia",7000000US13095000014,1906,23,82,1750,0,43,8
987,"PHOEBE EDUCATION, Dougherty County, Georgia",7000000US13095000015,2707,90,439,2056,19,92,11
988,"TURNER ELEM SCHOOL, Dougherty County, Georgia",7000000US13095000016,1158,60,58,1018,3,18,1
989,"JACKSON HEIGHTS, Dougherty County, Georgia",7000000US13095000017,3479,52,40,3330,6,50,1
990,"BILL MILLER CENTER, Dougherty County, Georgia",7000000US13095000018,3306,95,228,2866,9,95,13
991,"RADIUM MIDDLE SCHOOL, Dougherty County, Georgia",7000000US13095000019,941,110,236,556,5,30,4
992,"PUTNEY 1ST BAPTIST, Dougherty County, Georgia",7000000US13095000020,3780,142,1905,1571,10,106,46
993,"INTERNATIONAL STUDIES, Dougherty County, Georgia",7000000US13095000021,1466,124,433,838,8,56,7
994,"PHOEBE EAST, Dougherty County, Georgia",7000000US13095000022,4902,203,566,4003,15,89,26
995,"PINE BLUFF BAPT CHURCH, Dougherty County, Georgia",7000000US13095000023,3020,287,964,1651,19,86,13
996,"ALBANY MIDDLE SCHOOL, Dougherty County, Georgia",7000000US13095000024,3205,32,207,2907,15,38,6
997,"CHRIST CHURCH, Dougherty County, Georgia",7000000US13095000025,2250,39,1463,614,60,54,20
998,"LAMAR REESE ELEM, Dougherty County, Georgia",7000000US13095000026,1191,7,70,1090,1,18,5
