,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others
67,"CASSVILLE, Bartow County, Georgia",7000000US13015000005,16605,2090,11916,1535,228,725,111
68,"CENTER, Bartow County, Georgia",7000000US13015000006,5177,268,4240,334,64,227,44
69,"EMERSON, Bartow County, Georgia",7000000US13015000007,4453,408,3569,158,26,240,52
70,"EUHARLEE, Bartow County, Georgia",7000000US13015000008,7437,466,5871,626,24,409,41
71,"FOLSOM, Bartow County, Georgia",7000000US13015000009,2095,123,1863,24,2,75,8
72,"KINGSTON, Bartow County, Georgia",7000000US13015000010,3991,184,3333,238,9,206,21
73,"MISSION ROAD, Bartow County, Georgia",7000000US13015000011,5760,519,4212,680,33,246,70
74,"PINE LOG, Bartow County, Georgia",7000000US13015000012,2935,122,2632,26,5,134,16
75,"TAYLORSVILLE, Bartow County, Georgia",7000000US13015000014,3969,205,3508,60,16,168,12
76,"WHITE, Bartow County, Georgia",7000000US13015000015,3546,143,3140,80,11,157,15
77,"ZENA DRIVE, Bartow County, Georgia",7000000US13015000016,10158,1248,6028,2152,221,432,77
78,"WOODLAND HIGH, Bartow County, Georgia",7000000US13015000018,2605,226,2063,183,10,117,6
79,"EAST, Ben Hill County, Georgia",7000000US13017000001,6850,526,3065,2986,24,196,53
80,"WEST, Ben Hill County, Georgia",7000000US13017000002,10344,528,6154,3236,92,282,52
81,"019518 - ALAPAHA Voting District, Berrien County, Georgia",7000000US13019000518,1599,25,1199,298,0,66,11
82,"0191144 - RAY CITY Voting District, Berrien County, Georgia",7000000US13019001144,2099,171,1527,272,18,98,13
83,"0191148 - UPPER TENTH Voting District, Berrien County, Georgia",7000000US13019001148,379,15,327,22,0,14,1
84,"0191157 - NASHVILLE Voting District, Berrien County, Georgia",7000000US13019001157,8673,315,6904,1114,36,266,38
85,"0191329 - LOIS Voting District, Berrien County, Georgia",7000000US13019001329,985,67,850,23,3,39,3
86,"0191427 - NEW RIVER Voting District, Berrien County, Georgia",7000000US13019001427,782,56,666,21,7,23,9
87,"0191642 - ENIGMA Voting District, Berrien County, Georgia",7000000US13019001642,1984,294,1450,153,9,61,17
88,"0191767 - LOWER TENTH Voting District, Berrien County, Georgia",7000000US13019001767,847,49,748,23,6,20,1
89,"0191819 - JORDAN Voting District, Berrien County, Georgia",7000000US13019001819,812,53,725,8,1,24,1
90,"EAST MACON 1, Bibb County, Georgia",7000000US13021000EM1,2963,45,191,2602,7,99,19
91,"EAST MACON 2, Bibb County, Georgia",7000000US13021000EM2,5453,83,400,4796,19,139,16
92,"EAST MACON 3, Bibb County, Georgia",7000000US13021000EM3,4879,167,1522,2970,27,135,58
93,"EAST MACON 4, Bibb County, Georgia",7000000US13021000EM4,3504,82,357,2957,6,87,15
94,"EAST MACON 5, Bibb County, Georgia",7000000US13021000EM5,3443,69,991,2210,20,138,15
95,"GODFREY 1, Bibb County, Georgia",7000000US13021000GF1,10934,539,1865,8122,114,240,54
96,"GODFREY 2, Bibb County, Georgia",7000000US13021000GF2,3197,166,439,2464,4,93,31
97,"GODFREY 3, Bibb County, Georgia",7000000US13021000GF3,4615,144,500,3802,15,126,28
98,"GODFREY 4, Bibb County, Georgia",7000000US13021000GF4,3658,212,573,2736,11,105,21
99,"GODFREY 5, Bibb County, Georgia",7000000US13021000GF5,7233,396,667,5910,33,176,51
100,"HAZZARD 1, Bibb County, Georgia",7000000US13021000HA1,5303,538,581,4009,46,103,26
101,"HAZZARD 2, Bibb County, Georgia",7000000US13021000HA2,6216,229,2685,2902,161,192,47
102,"HAZZARD 3, Bibb County, Georgia",7000000US13021000HA3,10268,279,2562,6991,130,236,70
103,"HAZZARD 4, Bibb County, Georgia",7000000US13021000HA4,2776,78,1720,764,112,84,18
104,"HOWARD 1, Bibb County, Georgia",7000000US13021000HO1,5943,443,3033,1948,333,142,44
105,"HOWARD 2, Bibb County, Georgia",7000000US13021000HO2,5445,122,3639,1220,295,140,29
106,"HOWARD 3, Bibb County, Georgia",7000000US13021000HO3,12654,512,6877,3920,931,369,45
107,"HOWARD 4, Bibb County, Georgia",7000000US13021000HO4,2466,85,1209,1012,73,73,14
108,"HOWARD 5, Bibb County, Georgia",7000000US13021000HO5,2370,99,943,1136,71,105,16
109,"HOWARD 6, Bibb County, Georgia",7000000US13021000HO6,2903,107,1749,855,75,107,10
110,"HOWARD 7, Bibb County, Georgia",7000000US13021000HO7,3239,93,2312,609,60,134,31
111,"RUTLAND 1, Bibb County, Georgia",7000000US13021000RU1,7940,569,4438,2448,245,184,56
112,"RUTLAND 2, Bibb County, Georgia",7000000US13021000RU2,4781,330,2993,1253,30,155,20
113,"VINEVILLE 1, Bibb County, Georgia",7000000US13021000VV1,5777,545,2554,2329,82,227,40
114,"VINEVILLE 2, Bibb County, Georgia",7000000US13021000VV2,2940,89,973,1780,12,76,10
115,"VINEVILLE 3, Bibb County, Georgia",7000000US13021000VV3,4414,89,371,3789,12,134,19
116,"VINEVILLE 4, Bibb County, Georgia",7000000US13021000VV4,5795,124,648,4792,36,175,20
117,"VINEVILLE 5, Bibb County, Georgia",7000000US13021000VV5,3117,99,1961,870,77,101,9
118,"VINEVILLE 6, Bibb County, Georgia",7000000US13021000VV6,4373,149,2412,1547,69,163,33
119,"WARRIOR 1, Bibb County, Georgia",7000000US13021000WA1,3469,97,2339,835,45,113,40
120,"WARRIOR 2, Bibb County, Georgia",7000000US13021000WA2,5278,158,3283,1656,58,103,20
121,"FAIRGROUND, Bleckley County, Georgia",7000000US13023000001,12583,469,8867,2788,153,257,49
122,"HOBOKEN, Brantley County, Georgia",7000000US13025000001,5043,92,4673,93,23,151,11
123,"NAHUNTA, Brantley County, Georgia",7000000US13025000002,6332,114,5677,266,14,234,27
124,"WAYNESVILLE, Brantley County, Georgia",7000000US13025000003,6646,120,5967,203,5,307,44
125,"NANKIN, Brooks County, Georgia",7000000US13027000659,1086,39,885,125,1,30,6
126,"MORVEN, Brooks County, Georgia",7000000US13027000660,2888,191,1967,631,10,79,10
127,"QUITMAN, Brooks County, Georgia",7000000US13027001199,6123,333,2022,3548,37,165,18
128,"BARWICK, Brooks County, Georgia",7000000US13027001230,476,44,300,105,3,21,3
129,"DIXIE, Brooks County, Georgia",7000000US13027001402,1465,89,705,608,3,50,10
130,"BRIGGS, Brooks County, Georgia",7000000US13027001650,3401,194,2568,531,13,77,18
131,"PAVO, Brooks County, Georgia",7000000US13027001712,862,65,619,136,0,35,7
132,"PEMBROKE, Bryan County, Georgia",7000000US13029000001,3819,130,2421,1038,23,180,27
133,"ELLABELL, Bryan County, Georgia",7000000US13029000002,3126,106,2504,337,20,137,22
134,"BLACK CREEK, Bryan County, Georgia",7000000US13029000003,4063,105,3232,482,24,199,21
135,"WAYS STATION, Bryan County, Georgia",7000000US13029000004,2919,261,1758,558,146,166,30
136,"RH RECREATION COMPX, Bryan County, Georgia",7000000US13029000005,5456,621,3030,1175,209,380,41
137,"J.F.GREGORY PARK, Bryan County, Georgia",7000000US13029000006,3633,231,2999,179,65,134,25
138,"KELLER, Bryan County, Georgia",7000000US13029000007,5718,355,4500,431,83,317,32
139,"HWY 144 EAST, Bryan County, Georgia",7000000US13029000008,9259,886,6249,1113,327,581,103
140,"PUBLIC SAFETY COMPX, Bryan County, Georgia",7000000US13029000009,3736,413,2218,746,103,232,24
141,"DANIELSIDING, Bryan County, Georgia",7000000US13029000010,3009,161,2410,271,32,121,14
142,"FORT STEWART, Bryan County, Georgia",7000000US13029FTSTEW,0,0,0,0,0,0,0
143,"LOCKHART, Bulloch County, Georgia",7000000US13031000001,1006,11,788,182,3,19,3
144,"BLITCH, Bulloch County, Georgia",7000000US13031000002,2518,94,1981,337,12,81,13
145,"HAGIN, Bulloch County, Georgia",7000000US13031000003,3494,148,2173,1032,19,110,12
146,"BROOKLET, Bulloch County, Georgia",7000000US13031000004,5079,259,3889,608,127,166,30
147,"STILSON, Bulloch County, Georgia",7000000US13031000005,3177,64,2714,206,2,159,32
148,"BAY, Bulloch County, Georgia",7000000US13031000006,2310,64,1992,131,19,89,15
149,"NEVILS, Bulloch County, Georgia",7000000US13031000007,1910,93,1466,230,11,97,13
150,"SINKHOLE, Bulloch County, Georgia",7000000US13031000008,693,28,575,67,2,17,4
151,"REGISTER, Bulloch County, Georgia",7000000US13031000009,1515,89,864,482,7,58,15
152,"EMIT, Bulloch County, Georgia",7000000US13031000010,5564,253,4068,893,83,226,41
153,"STATESBORO, Bulloch County, Georgia",7000000US13031000011,10706,416,5168,4627,152,275,68
154,"PORTAL, Bulloch County, Georgia",7000000US13031000012,2607,131,1753,587,5,112,19
155,"FAIR, Bulloch County, Georgia",7000000US13031000013,12679,935,7267,3755,303,372,47
156,"CHURCH, Bulloch County, Georgia",7000000US13031000014,9633,309,4509,4325,180,271,39
157,"PITTMAN PARK, Bulloch County, Georgia",7000000US13031000015,16707,1234,9229,5212,355,560,117
158,"LEEFIELD, Bulloch County, Georgia",7000000US13031000016,1501,52,1276,101,3,67,2
159,"ALEXANDER, Burke County, Georgia",7000000US13033000001,597,23,323,225,0,21,5
160,"FOUR POINTS, Burke County, Georgia",7000000US13033000002,3647,190,2443,839,16,130,29
161,"GIRARD, Burke County, Georgia",7000000US13033000003,1013,8,553,421,3,23,5
162,"GOUGH, Burke County, Georgia",7000000US13033000004,564,30,191,335,0,8,0
163,"GREENSCUT, Burke County, Georgia",7000000US13033000005,1537,63,939,481,3,41,10
164,"KEYSVILLE, Burke County, Georgia",7000000US13033000006,788,57,385,299,7,36,4
165,"MIDVILLE, Burke County, Georgia",7000000US13033000007,660,23,248,380,0,8,1
166,"MUNNERLYN, Burke County, Georgia",7000000US13033000008,292,6,193,79,0,14,0
167,"SARDIS, Burke County, Georgia",7000000US13033000009,1656,29,866,659,4,86,12
168,"SCOTTS CROSSROADS, Burke County, Georgia",7000000US13033000010,355,9,134,205,1,6,0
169,"TELFAIR, Burke County, Georgia",7000000US13033000011,1835,49,1165,570,3,45,3
170,"ST. CLAIR, Burke County, Georgia",7000000US13033000012,632,20,341,229,2,38,2
171,"VIDETTE, Burke County, Georgia",7000000US13033000013,456,34,227,179,0,14,2
172,"NORTH WAYNESBORO, Burke County, Georgia",7000000US13033000014,4531,118,1030,3257,11,95,20
173,"SOUTH WAYNESBORO, Burke County, Georgia",7000000US13033000015,4977,101,2550,2153,46,108,19
174,"BLAKENEY, Burke County, Georgia",7000000US13033000016,1056,17,353,646,1,30,9
175,"BUTTS CO COMM C, Butts County, Georgia",7000000US1303500BCCC,25434,803,16628,6808,102,881,212
