,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others,Population Density: Hispanic,Population Density: White,Population Density: Black,Population Density: Asian,Population Density: Mixed,Population Density: Others,Polling Site
23,"EAST HARDWICK, Baldwin County, Georgia",7000000US1300900321E,2056.0,59.0,400.0,1507.0,13.0,63.0,14.0,0.0286964980544747,0.1945525291828793,0.732976653696498,0.0063229571984435,0.0306420233463035,0.0068093385214007,1
24,"WEST HARDWICK, Baldwin County, Georgia",7000000US1300900321W,4369.0,77.0,1180.0,2983.0,9.0,98.0,22.0,0.0176241702906843,0.2700846875715266,0.6827649347676814,0.002059967956054,0.0224307621881437,0.0050354772259098,1
25,"SOUTH MILLEDGEVILLE, Baldwin County, Georgia",7000000US1300900CTY1,3706.0,156.0,1635.0,1689.0,76.0,104.0,46.0,0.0420939017808958,0.4411764705882353,0.4557474365893146,0.0205072854830005,0.0280626011872638,0.0124123043712898,1
26,"CITY HALL ANNEX, Baldwin County, Georgia",7000000US1300900CTY2,3520.0,74.0,1330.0,2063.0,18.0,31.0,4.0,0.0210227272727272,0.3778409090909091,0.5860795454545454,0.0051136363636363,0.0088068181818181,0.0011363636363636,1
27,"BODDIE, Baldwin County, Georgia",7000000US1300900CTY3,1697.0,87.0,612.0,910.0,12.0,55.0,21.0,0.051266941661756,0.3606364172068356,0.5362404242781379,0.0070713022981732,0.032410135533294,0.0123747790218031,1
28,"COURTHOUSE, Baldwin County, Georgia",7000000US1300900CTY4,3136.0,149.0,2361.0,458.0,39.0,67.0,62.0,0.0475127551020408,0.7528698979591837,0.1460459183673469,0.0124362244897959,0.0213647959183673,0.0197704081632653,1
29,"FIRE DEPT, Baldwin County, Georgia",7000000US1300900CTY5,1643.0,26.0,631.0,892.0,52.0,34.0,8.0,0.0158247108947048,0.3840535605599513,0.5429093122337189,0.0316494217894096,0.0206938527084601,0.0048691418137553,1
30,"NORTH MILLEDGEVILLE, Baldwin County, Georgia",7000000US1300900CTY6,3364.0,61.0,1485.0,1668.0,83.0,48.0,19.0,0.0181331747919143,0.4414387633769322,0.4958382877526754,0.0246730083234244,0.0142687277051129,0.0056480380499405,1
31,"MERIWEATHER, Baldwin County, Georgia",7000000US1300900MERI,3664.0,133.0,2363.0,957.0,82.0,117.0,12.0,0.0362991266375545,0.6449235807860262,0.2611899563318777,0.0223799126637554,0.0319323144104803,0.0032751091703056,1
32,"EAST BALDWIN, Baldwin County, Georgia",7000000US1300900MONT,5158.0,53.0,2989.0,1935.0,17.0,132.0,32.0,0.0102753005040713,0.5794881737107406,0.3751454051958123,0.0032958511050794,0.0255913144629701,0.006203955021326,1
33,"0110001 - ANDERSON Voting District, Banks County, Georgia",7000000US13011000001,2159.0,84.0,1956.0,38.0,17.0,59.0,5.0,0.0389069013432144,0.9059749884205652,0.0176007410838351,0.0078740157480314,0.0273274664196387,0.0023158869847151,1
34,"0110002 - BALDWIN Voting District, Banks County, Georgia",7000000US13011000002,1209.0,173.0,965.0,9.0,26.0,34.0,2.0,0.1430934656741108,0.7981803143093466,0.0074441687344913,0.021505376344086,0.0281224152191894,0.0016542597187758,1
35,"0110003 - BERLIN Voting District, Banks County, Georgia",7000000US13011000003,545.0,10.0,482.0,12.0,20.0,19.0,2.0,0.018348623853211,0.8844036697247707,0.0220183486238532,0.036697247706422,0.0348623853211009,0.0036697247706422,1
36,"0110004 - BUSHVILLE Voting District, Banks County, Georgia",7000000US13011000004,1220.0,91.0,1014.0,56.0,11.0,43.0,5.0,0.0745901639344262,0.8311475409836065,0.0459016393442622,0.0090163934426229,0.0352459016393442,0.0040983606557377,1
37,"0110005 - COLUMBIA Voting District, Banks County, Georgia",7000000US13011000005,495.0,29.0,436.0,9.0,0.0,19.0,2.0,0.0585858585858585,0.8808080808080808,0.0181818181818181,0.0,0.0383838383838383,0.004040404040404,1
38,"0110006 - DAVIDS Voting District, Banks County, Georgia",7000000US13011000006,2685.0,97.0,2292.0,97.0,46.0,138.0,15.0,0.0361266294227188,0.8536312849162011,0.0361266294227188,0.0171322160148975,0.0513966480446927,0.0055865921787709,1
39,"0110007 - GOLDEN HILL Voting District, Banks County, Georgia",7000000US13011000007,1615.0,271.0,1270.0,10.0,7.0,46.0,11.0,0.1678018575851393,0.7863777089783281,0.0061919504643962,0.0043343653250774,0.0284829721362229,0.0068111455108359,1
40,"0110008 - GROVE RIVER Voting District, Banks County, Georgia",7000000US13011000008,779.0,65.0,671.0,5.0,3.0,29.0,6.0,0.0834403080872914,0.8613607188703466,0.0064184852374839,0.0038510911424903,0.0372272143774069,0.0077021822849807,1
41,"0110009 - HOLLINGSWORTH Voting District, Banks County, Georgia",7000000US13011000009,938.0,59.0,830.0,12.0,6.0,23.0,8.0,0.0628997867803838,0.8848614072494669,0.0127931769722814,0.0063965884861407,0.0245202558635394,0.0085287846481876,1
42,"0110010 - HOMER Voting District, Banks County, Georgia",7000000US13011000010,2136.0,87.0,1907.0,56.0,6.0,71.0,9.0,0.0407303370786516,0.8927902621722846,0.0262172284644194,0.0028089887640449,0.0332397003745318,0.0042134831460674,1
