"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N"
"0600000US1312992880","Sugar Valley-Resaca CCD, Gordon County, Georgia","6698","432","6266","6010","5884","80","10","26","2","8","256","242","43","162","3","0","30","2","0","0","1","0","0","0","0","1","0","14","5","0","0","0","5","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313190498","Cairo CCD, Grady County, Georgia","18584","2898","15686","15226","9080","5932","65","80","4","65","460","438","151","201","19","0","30","14","6","1","12","3","0","0","0","1","0","17","5","8","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"0600000US1313190510","Calvary-Reno CCD, Grady County, Georgia","1714","97","1617","1568","1164","393","5","6","0","0","49","47","10","20","3","0","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313192216","Northwest Grady CCD, Grady County, Georgia","592","9","583","571","484","84","1","1","1","0","12","10","0","6","4","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313192804","Southeast Grady CCD, Grady County, Georgia","732","52","680","662","468","191","1","2","0","0","18","17","3","13","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313192832","Spence CCD, Grady County, Georgia","1736","102","1634","1598","1437","137","9","8","1","6","36","34","12","17","0","0","2","2","0","0","1","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313193354","Whigham CCD, Grady County, Georgia","2878","115","2763","2666","2082","548","8","13","0","15","97","91","19","47","4","0","16","2","0","2","1","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0"
"0600000US1313391356","Greensboro CCD, Greene County, Georgia","12155","856","11299","11007","7547","3257","17","143","2","41","292","278","94","84","31","2","54","11","0","0","2","0","0","0","0","0","0","9","3","1","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313391374","Greshamville CCD, Greene County, Georgia","1110","80","1030","1009","833","167","0","5","0","4","21","21","8","9","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313392766","Siloam CCD, Greene County, Georgia","900","56","844","838","371","463","1","1","0","2","6","5","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313393156","Union Point CCD, Greene County, Georgia","2273","171","2102","2035","834","1177","6","17","0","1","67","63","35","8","3","2","8","6","0","0","1","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"0600000US1313393366","White Plains CCD, Greene County, Georgia","1517","67","1450","1415","1041","364","0","2","0","8","35","33","9","12","5","1","5","0","0","1","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313393432","Woodville CCD, Greene County, Georgia","960","59","901","867","500","355","4","6","0","2","34","33","7","17","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313590469","Buford-Sugar Hill CCD, Gwinnett County, Georgia","59392","11685","47707","45262","29358","8229","76","7245","31","323","2445","2327","636","510","590","22","299","62","71","9","84","7","0","0","16","19","2","112","37","26","3","17","4","0","0","14","3","0","3","0","0","1","4","0","0","0","0","0","5","2","0","0","2","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"0600000US1313590846","Dacula-Rocky Creek CCD, Gwinnett County, Georgia","121151","16945","104206","99469","60944","26806","151","10747","32","789","4737","4376","1222","1025","911","25","475","162","216","9","248","9","0","6","33","30","5","334","131","110","1","37","11","0","2","13","10","2","2","0","1","5","4","5","0","0","0","0","27","16","1","4","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313591704","Lawrenceville CCD, Gwinnett County, Georgia","248083","68274","179809","171744","62699","73849","418","33025","102","1651","8065","7375","2481","1112","1336","47","679","403","490","35","559","46","2","9","44","113","19","625","271","145","12","43","66","1","7","23","15","1","11","5","6","2","15","0","0","0","0","2","62","32","0","14","7","1","0","8","0","0","0","0","0","0","0","0","2","1","0","0","0","0","1","1","1"
"0600000US1313591740","Lilburn CCD, Gwinnett County, Georgia","148297","56650","91647","87561","32473","32072","256","21778","56","926","4086","3704","1120","593","743","33","392","195","213","20","245","26","0","7","22","84","11","342","173","48","3","28","16","1","18","17","10","4","9","1","1","2","7","3","0","0","0","1","40","14","1","16","3","2","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"0600000US1313592178","Norcross CCD, Gwinnett County, Georgia","85972","27658","58314","55354","27470","17209","150","9896","39","590","2960","2708","766","413","598","13","371","125","149","9","180","26","0","2","24","31","1","222","104","45","2","24","16","0","2","8","6","0","1","0","5","5","3","1","0","0","0","0","30","12","1","7","3","1","0","4","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313592790","Snellville-Grayson CCD, Gwinnett County, Georgia","177506","21944","155562","148279","56775","77335","315","12330","77","1447","7283","6700","2268","1042","929","35","550","482","418","60","738","38","0","4","33","101","2","545","250","95","13","62","30","2","3","27","12","3","15","0","20","2","11","0","0","0","0","0","36","18","1","13","0","3","0","1","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0"
"0600000US1313592910","Suwanee-Duluth CCD, Gwinnett County, Georgia","116661","17304","99357","94972","40864","21624","166","31505","50","763","4385","4081","1050","557","1163","21","539","147","275","17","201","19","5","3","33","44","7","281","116","70","3","27","13","2","2","26","6","2","3","0","3","3","4","1","0","0","0","0","23","12","1","5","0","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313790672","Clarkesville CCD, Habersham County, Georgia","14560","811","13749","13143","12739","238","24","105","7","30","606","585","88","343","44","8","92","8","0","0","1","0","0","0","0","1","0","15","5","1","3","0","0","2","0","2","0","0","0","0","1","0","0","0","0","1","0","0","6","3","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313790798","Cornelia CCD, Habersham County, Georgia","27461","5933","21528","20731","18249","1467","56","862","28","69","797","752","175","362","86","9","96","11","1","0","4","0","0","3","0","1","4","34","8","6","0","6","0","0","2","3","0","0","2","1","1","2","0","0","0","3","0","0","11","6","0","1","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313793102","Turnerville CCD, Habersham County, Georgia","4010","136","3874","3759","3706","17","3","23","0","10","115","113","24","68","9","0","9","0","0","0","2","0","0","0","0","0","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313990690","Clermont CCD, Hall County, Georgia","15396","1304","14092","13535","13230","151","25","87","5","37","557","543","68","335","47","3","79","5","0","0","5","0","0","0","0","1","0","14","5","2","0","2","3","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313991188","Flowery Branch CCD, Hall County, Georgia","46930","5931","40999","39256","35083","2601","98","1286","19","169","1743","1691","363","674","282","10","306","19","7","2","17","2","0","0","6","3","0","44","17","11","0","7","3","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313991260","Gainesville CCD, Hall County, Georgia","95922","40682","55240","52944","41273","9320","159","1811","39","342","2296","2191","614","847","276","27","295","51","21","4","34","7","0","0","7","8","0","98","43","9","2","10","20","1","1","1","4","0","0","0","2","0","0","2","0","0","0","3","6","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"0600000US1313991836","Lula CCD, Hall County, Georgia","9312","1154","8158","7809","7307","370","20","84","2","26","349","335","75","188","26","3","31","2","3","0","3","4","0","0","0","0","0","14","5","0","0","2","4","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313992118","Murrayville CCD, Hall County, Georgia","17768","2248","15520","14826","14314","260","25","169","9","49","694","673","143","316","60","3","128","8","4","0","2","0","0","4","2","3","0","20","13","0","0","0","2","0","0","3","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1313992250","Oakwood CCD, Hall County, Georgia","17808","5691","12117","11636","9211","1554","14","761","11","85","481","448","125","146","62","1","78","2","5","0","26","0","0","0","0","3","0","31","17","5","0","1","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0600000US1314190930","Devereux CCD, Hancock County, Georgia","1944","21","1923","1866","1117","726","10","2","1","10","57","55","16","27","6","2","1","1","0","0","2","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
